id,username,email,password,date_of_registration,country,preferences,user_type,recommendation_system,id,user_id,search_term,search_date
929,user_929,user929@example.com,hash_password_929,2022-09-04,Brazil,Genre_6,consumer,Recomendeitor,56,929,search_term_56,2022-03-21
75,user_75,user75@example.com,hash_password_75,2021-07-20,Brazil,Genre_5,content_creator,Recomendeitor_Plus,57,75,search_term_57,2022-04-07
557,user_557,user557@example.com,hash_password_557,2021-03-21,USA,Genre_4,consumer,Recomendeitor,58,557,search_term_58,2022-02-21
581,user_581,user581@example.com,hash_password_581,2020-12-30,India,Genre_3,consumer,Recomendeitor,59,581,search_term_59,2022-02-12
498,user_498,user498@example.com,hash_password_498,2021-02-09,Italy,Genre_3,moderator,Recomendeitor,60,498,search_term_60,2022-05-14
416,user_416,user416@example.com,hash_password_416,2021-10-20,France,Genre_7,admin,Recomendeitor_Plus,61,416,search_term_61,2022-11-12
879,user_879,user879@example.com,hash_password_879,2021-05-05,Germany,Genre_2,admin,Recomendeitor,62,879,search_term_62,2022-07-01
722,user_722,user722@example.com,hash_password_722,2021-08-11,Brazil,Genre_10,moderator,Recomendeitor_Plus,63,722,search_term_63,2022-09-04
751,user_751,user751@example.com,hash_password_751,2022-12-22,France,,content_creator,Recomendeitor_Plus,64,751,search_term_64,2021-01-30
340,user_340,user340@example.com,hash_password_340,2022-06-18,Japan,Genre_8,admin,Recomendeitor_Plus,65,340,search_term_65,2022-02-09
308,user_308,user308@example.com,hash_password_308,2022-05-13,France,Genre_7,content_creator,Recomendeitor_Plus,66,308,search_term_66,2021-03-26
704,user_704,user704@example.com,hash_password_704,2022-07-08,Spain,,content_creator,Recomendeitor_Plus,67,704,search_term_67,2021-12-17
884,user_884,user884@example.com,hash_password_884,2020-10-24,Brazil,Genre_2,moderator,Recomendeitor,68,884,search_term_68,2021-12-21
615,user_615,user615@example.com,hash_password_615,2022-05-15,Japan,Genre_10,content_creator,Recomendeitor_Plus,69,615,search_term_69,2022-10-05
241,user_241,user241@example.com,hash_password_241,2021-03-08,UK,,admin,Recomendeitor,70,241,search_term_70,2022-11-13
253,user_253,user253@example.com,hash_password_253,2020-10-22,Spain,Genre_1,moderator,Recomendeitor,71,253,search_term_71,2021-02-02
936,user_936,user936@example.com,hash_password_936,2020-05-12,USA,Genre_9,moderator,Recomendeitor_Plus,72,936,search_term_72,2022-11-13
220,user_220,user220@example.com,hash_password_220,2021-01-20,Brazil,Genre_7,content_creator,Recomendeitor_Plus,73,220,search_term_73,2021-07-10
397,user_397,user397@example.com,hash_password_397,2020-06-28,Canada,Genre_8,admin,Recomendeitor_Plus,74,397,search_term_74,2022-02-07
986,user_986,user986@example.com,hash_password_986,2021-02-14,Germany,Genre_5,content_creator,Recomendeitor,75,986,search_term_75,2022-02-22
336,user_336,user336@example.com,hash_password_336,2021-09-19,UK,Genre_5,moderator,Recomendeitor,76,336,search_term_76,2021-11-04
729,user_729,user729@example.com,hash_password_729,2022-04-17,Canada,Genre_2,admin,Recomendeitor,77,729,search_term_77,2022-07-26
714,user_714,user714@example.com,hash_password_714,2020-03-19,Brazil,Genre_2,consumer,Recomendeitor,78,714,search_term_78,2021-01-31
29,user_29,user29@example.com,hash_password_29,2021-11-28,Italy,Genre_1,consumer,Recomendeitor,79,29,search_term_79,2022-03-10
494,user_494,user494@example.com,hash_password_494,2022-04-12,Italy,Genre_5,admin,Recomendeitor_Plus,80,494,search_term_80,2021-10-28
959,user_959,user959@example.com,hash_password_959,2022-08-29,Germany,Genre_7,admin,Recomendeitor_Plus,81,959,search_term_81,2022-02-05
998,user_998,user998@example.com,hash_password_998,2020-08-08,Brazil,Genre_5,moderator,Recomendeitor_Plus,82,998,search_term_82,2022-08-18
724,user_724,user724@example.com,hash_password_724,2021-10-16,Japan,Genre_10,content_creator,Recomendeitor,83,724,search_term_83,2022-05-05
502,user_502,user502@example.com,hash_password_502,2020-02-29,USA,Genre_8,consumer,Recomendeitor_Plus,84,502,search_term_84,2021-02-08
154,user_154,user154@example.com,hash_password_154,2022-04-14,Brazil,Genre_7,admin,Recomendeitor,85,154,search_term_85,2021-05-28
992,user_992,user992@example.com,hash_password_992,2020-06-27,Spain,,content_creator,Recomendeitor,86,992,search_term_86,2021-08-15
231,user_231,user231@example.com,hash_password_231,2020-04-20,Germany,Genre_9,admin,Recomendeitor,87,231,search_term_87,2021-12-08
102,user_102,user102@example.com,hash_password_102,2020-12-21,USA,Genre_6,moderator,Recomendeitor_Plus,88,102,search_term_88,2021-11-06
827,user_827,user827@example.com,hash_password_827,2020-10-09,Canada,Genre_3,admin,Recomendeitor,89,827,search_term_89,2022-11-18
177,user_177,user177@example.com,hash_password_177,2020-09-07,USA,Genre_3,consumer,Recomendeitor,90,177,search_term_90,2021-08-25
693,user_693,user693@example.com,hash_password_693,2021-06-06,France,Genre_7,content_creator,Recomendeitor_Plus,91,693,search_term_91,2022-08-24
984,user_984,user984@example.com,hash_password_984,2022-12-03,UK,Genre_5,moderator,Recomendeitor,92,984,search_term_92,2022-10-05
927,user_927,user927@example.com,hash_password_927,2020-04-25,Canada,Genre_2,content_creator,Recomendeitor_Plus,93,927,search_term_93,2021-08-11
232,user_232,user232@example.com,hash_password_232,2022-09-07,USA,Genre_5,content_creator,Recomendeitor_Plus,94,232,search_term_94,2021-12-25
12,user_12,user12@example.com,hash_password_12,2022-07-06,Brazil,Genre_10,admin,Recomendeitor_Plus,95,12,search_term_95,2021-05-10
186,user_186,user186@example.com,hash_password_186,2021-07-17,Canada,Genre_7,moderator,Recomendeitor,96,186,search_term_96,2021-11-25
761,user_761,user761@example.com,hash_password_761,2022-06-17,Canada,Genre_10,consumer,Recomendeitor_Plus,97,761,search_term_97,2021-08-17
932,user_932,user932@example.com,hash_password_932,2020-08-23,UK,Genre_9,content_creator,Recomendeitor_Plus,98,932,search_term_98,2022-04-22
266,user_266,user266@example.com,hash_password_266,2020-06-01,Germany,Genre_1,moderator,Recomendeitor_Plus,99,266,search_term_99,2022-12-15
902,user_902,user902@example.com,hash_password_902,2021-03-02,USA,Genre_2,moderator,Recomendeitor_Plus,100,902,search_term_100,2021-02-12
135,user_135,user135@example.com,hash_password_135,2020-06-19,Canada,Genre_3,consumer,Recomendeitor_Plus,101,135,search_term_101,2022-06-20
757,user_757,user757@example.com,hash_password_757,2020-06-26,USA,Genre_1,moderator,Recomendeitor,102,757,search_term_102,2022-02-06
31,user_31,user31@example.com,hash_password_31,2021-03-08,India,Genre_7,admin,Recomendeitor_Plus,103,31,search_term_103,2022-12-03
859,user_859,user859@example.com,hash_password_859,2021-04-20,UK,Genre_1,moderator,Recomendeitor,104,859,search_term_104,2021-04-21
456,user_456,user456@example.com,hash_password_456,2020-08-28,Japan,Genre_2,content_creator,Recomendeitor_Plus,105,456,search_term_105,2021-12-27
259,user_259,user259@example.com,hash_password_259,2021-10-20,India,Genre_2,content_creator,Recomendeitor_Plus,106,259,search_term_106,2022-10-07
104,user_104,user104@example.com,hash_password_104,2021-05-05,Italy,Genre_2,consumer,Recomendeitor_Plus,107,104,search_term_107,2022-05-17
431,user_431,user431@example.com,hash_password_431,2020-04-26,Germany,Genre_10,moderator,Recomendeitor,108,431,search_term_108,2021-12-17
382,user_382,user382@example.com,hash_password_382,2021-11-11,Brazil,Genre_7,moderator,Recomendeitor,109,382,search_term_109,2021-03-12
469,user_469,user469@example.com,hash_password_469,2022-12-25,UK,Genre_9,content_creator,Recomendeitor,110,469,search_term_110,2022-07-16
513,user_513,user513@example.com,hash_password_513,2022-06-14,Italy,,consumer,Recomendeitor_Plus,111,513,search_term_111,2022-01-24
941,user_941,user941@example.com,hash_password_941,2022-07-30,Canada,Genre_4,consumer,Recomendeitor_Plus,112,941,search_term_112,2021-03-29
950,user_950,user950@example.com,hash_password_950,2022-07-03,UK,,consumer,Recomendeitor,113,950,search_term_113,2021-05-20
946,user_946,user946@example.com,hash_password_946,2021-08-13,Italy,Genre_2,content_creator,Recomendeitor_Plus,114,946,search_term_114,2022-08-28
207,user_207,user207@example.com,hash_password_207,2020-11-25,Germany,Genre_6,admin,Recomendeitor_Plus,115,207,search_term_115,2022-03-31
647,user_647,user647@example.com,hash_password_647,2020-12-30,Japan,Genre_6,admin,Recomendeitor_Plus,116,647,search_term_116,2022-12-30
447,user_447,user447@example.com,hash_password_447,2020-11-22,UK,Genre_9,content_creator,Recomendeitor,117,447,search_term_117,2022-11-26
783,user_783,user783@example.com,hash_password_783,2022-04-07,Canada,Genre_3,moderator,Recomendeitor_Plus,118,783,search_term_118,2022-06-25
89,user_89,user89@example.com,hash_password_89,2022-04-09,Brazil,Genre_7,content_creator,Recomendeitor_Plus,119,89,search_term_119,2022-03-01
195,user_195,user195@example.com,hash_password_195,2020-04-17,Spain,Genre_7,moderator,Recomendeitor_Plus,120,195,search_term_120,2021-04-16
414,user_414,user414@example.com,hash_password_414,2020-05-23,USA,,consumer,Recomendeitor_Plus,121,414,search_term_121,2021-11-02
122,user_122,user122@example.com,hash_password_122,2022-04-17,Japan,Genre_8,moderator,Recomendeitor,122,122,search_term_122,2021-11-18
462,user_462,user462@example.com,hash_password_462,2020-10-05,USA,Genre_8,admin,Recomendeitor,123,462,search_term_123,2021-09-09
116,user_116,user116@example.com,hash_password_116,2021-12-13,France,Genre_2,consumer,Recomendeitor,124,116,search_term_124,2021-12-17
196,user_196,user196@example.com,hash_password_196,2022-04-07,Brazil,Genre_9,admin,Recomendeitor_Plus,125,196,search_term_125,2021-01-20
36,user_36,user36@example.com,hash_password_36,2021-06-12,France,Genre_5,moderator,Recomendeitor,126,36,search_term_126,2021-05-19
67,user_67,user67@example.com,hash_password_67,2021-03-25,Germany,Genre_5,content_creator,Recomendeitor,127,67,search_term_127,2021-12-19
645,user_645,user645@example.com,hash_password_645,2020-04-30,USA,Genre_6,moderator,Recomendeitor,128,645,search_term_128,2022-04-04
281,user_281,user281@example.com,hash_password_281,2021-01-23,Spain,Genre_5,moderator,Recomendeitor_Plus,129,281,search_term_129,2022-11-28
479,user_479,user479@example.com,hash_password_479,2020-12-19,France,Genre_8,moderator,Recomendeitor_Plus,130,479,search_term_130,2022-07-08
11,user_11,user11@example.com,hash_password_11,2020-05-15,Germany,Genre_1,consumer,Recomendeitor_Plus,131,11,search_term_131,2022-11-27
968,user_968,user968@example.com,hash_password_968,2020-04-26,Canada,Genre_10,content_creator,Recomendeitor,132,968,search_term_132,2021-06-06
730,user_730,user730@example.com,hash_password_730,2020-03-21,Spain,Genre_6,consumer,Recomendeitor,133,730,search_term_133,2022-11-17
322,user_322,user322@example.com,hash_password_322,2022-06-26,Italy,Genre_9,moderator,Recomendeitor,134,322,search_term_134,2021-12-20
668,user_668,user668@example.com,hash_password_668,2020-11-17,France,Genre_6,moderator,Recomendeitor,135,668,search_term_135,2021-03-12
240,user_240,user240@example.com,hash_password_240,2021-01-04,UK,Genre_6,admin,Recomendeitor_Plus,136,240,search_term_136,2021-07-14
60,user_60,user60@example.com,hash_password_60,2022-06-15,Japan,Genre_3,consumer,Recomendeitor_Plus,137,60,search_term_137,2021-09-09
650,user_650,user650@example.com,hash_password_650,2021-05-11,USA,Genre_5,content_creator,Recomendeitor,138,650,search_term_138,2022-06-22
562,user_562,user562@example.com,hash_password_562,2022-10-14,Spain,Genre_6,consumer,Recomendeitor,139,562,search_term_139,2022-05-19
679,user_679,user679@example.com,hash_password_679,2021-04-08,USA,Genre_8,admin,Recomendeitor_Plus,140,679,search_term_140,2022-12-06
165,user_165,user165@example.com,hash_password_165,2022-02-16,USA,Genre_10,admin,Recomendeitor_Plus,141,165,search_term_141,2022-07-07
831,user_831,user831@example.com,hash_password_831,2021-02-05,India,Genre_9,content_creator,Recomendeitor,142,831,search_term_142,2022-09-11
189,user_189,user189@example.com,hash_password_189,2020-03-30,Spain,Genre_3,consumer,Recomendeitor,143,189,search_term_143,2021-05-08
487,user_487,user487@example.com,hash_password_487,2020-04-17,USA,Genre_8,moderator,Recomendeitor_Plus,144,487,search_term_144,2022-07-12
981,user_981,user981@example.com,hash_password_981,2022-12-28,Germany,Genre_5,consumer,Recomendeitor_Plus,145,981,search_term_145,2022-07-24
92,user_92,user92@example.com,hash_password_92,2021-12-19,USA,Genre_8,admin,Recomendeitor,146,92,search_term_146,2021-04-06
806,user_806,user806@example.com,hash_password_806,2022-04-16,USA,Genre_7,content_creator,Recomendeitor_Plus,147,806,search_term_147,2021-03-12
888,user_888,user888@example.com,hash_password_888,2022-07-04,Japan,Genre_7,admin,Recomendeitor_Plus,148,888,search_term_148,2021-03-30
289,user_289,user289@example.com,hash_password_289,2020-01-23,USA,Genre_8,moderator,Recomendeitor,149,289,search_term_149,2022-07-03
509,user_509,user509@example.com,hash_password_509,2022-07-30,Germany,Genre_3,consumer,Recomendeitor_Plus,150,509,search_term_150,2021-12-16
75,user_75,user75@example.com,hash_password_75,2021-07-20,Brazil,Genre_5,content_creator,Recomendeitor_Plus,151,75,search_term_151,2022-05-08
557,user_557,user557@example.com,hash_password_557,2021-03-21,USA,Genre_4,consumer,Recomendeitor,152,557,search_term_152,2021-10-09
428,user_428,user428@example.com,hash_password_428,2022-05-21,France,Genre_6,content_creator,Recomendeitor_Plus,153,428,search_term_153,2021-03-08
385,user_385,user385@example.com,hash_password_385,2021-04-14,Italy,Genre_5,moderator,Recomendeitor,154,385,search_term_154,2022-02-11
53,user_53,user53@example.com,hash_password_53,2021-08-11,Germany,,admin,Recomendeitor_Plus,155,53,search_term_155,2022-07-04
175,user_175,user175@example.com,hash_password_175,2020-08-25,Brazil,Genre_2,content_creator,Recomendeitor,156,175,search_term_156,2021-10-26
673,user_673,user673@example.com,hash_password_673,2020-01-31,France,Genre_9,content_creator,Recomendeitor,157,673,search_term_157,2022-07-19
579,user_579,user579@example.com,hash_password_579,2021-06-04,India,Genre_1,moderator,Recomendeitor_Plus,158,579,search_term_158,2022-09-07
474,user_474,user474@example.com,hash_password_474,2020-12-11,France,Genre_3,consumer,Recomendeitor_Plus,159,474,search_term_159,2022-02-02
911,user_911,user911@example.com,hash_password_911,2020-06-08,USA,Genre_1,consumer,Recomendeitor,160,911,search_term_160,2022-04-21
361,user_361,user361@example.com,hash_password_361,2021-04-11,Germany,Genre_7,admin,Recomendeitor,161,361,search_term_161,2021-05-05
270,user_270,user270@example.com,hash_password_270,2020-06-18,France,Genre_3,consumer,Recomendeitor_Plus,162,270,search_term_162,2021-10-22
407,user_407,user407@example.com,hash_password_407,2022-12-03,UK,Genre_9,content_creator,Recomendeitor_Plus,163,407,search_term_163,2022-03-04
124,user_124,user124@example.com,hash_password_124,2022-06-27,Italy,Genre_9,consumer,Recomendeitor_Plus,164,124,search_term_164,2021-10-23
694,user_694,user694@example.com,hash_password_694,2022-11-05,India,Genre_10,admin,Recomendeitor,165,694,search_term_165,2021-02-04
376,user_376,user376@example.com,hash_password_376,2021-06-26,Brazil,Genre_2,admin,Recomendeitor_Plus,166,376,search_term_166,2022-08-20
392,user_392,user392@example.com,hash_password_392,2021-04-10,France,Genre_4,content_creator,Recomendeitor,167,392,search_term_167,2021-05-13
182,user_182,user182@example.com,hash_password_182,2021-05-18,France,Genre_1,admin,Recomendeitor_Plus,168,182,search_term_168,2022-12-10
36,user_36,user36@example.com,hash_password_36,2021-06-12,France,Genre_5,moderator,Recomendeitor,169,36,search_term_169,2021-09-18
212,user_212,user212@example.com,hash_password_212,2021-09-11,Germany,Genre_9,consumer,Recomendeitor,170,212,search_term_170,2022-03-16
896,user_896,user896@example.com,hash_password_896,2021-07-14,USA,Genre_1,admin,Recomendeitor_Plus,171,896,search_term_171,2022-11-08
948,user_948,user948@example.com,hash_password_948,2021-11-18,Spain,Genre_7,admin,Recomendeitor,172,948,search_term_172,2022-05-28
134,user_134,user134@example.com,hash_password_134,2020-03-14,Spain,Genre_3,moderator,Recomendeitor,173,134,search_term_173,2022-11-02
865,user_865,user865@example.com,hash_password_865,2022-04-04,France,,admin,Recomendeitor_Plus,174,865,search_term_174,2021-04-27
924,user_924,user924@example.com,hash_password_924,2020-04-11,India,Genre_5,admin,Recomendeitor,175,924,search_term_175,2021-05-06
690,user_690,user690@example.com,hash_password_690,2022-01-24,Canada,Genre_7,content_creator,Recomendeitor,176,690,search_term_176,2022-11-06
678,user_678,user678@example.com,hash_password_678,2021-06-30,USA,Genre_10,content_creator,Recomendeitor,177,678,search_term_177,2021-04-23
926,user_926,user926@example.com,hash_password_926,2022-02-02,India,Genre_10,consumer,Recomendeitor_Plus,178,926,search_term_178,2021-05-19
491,user_491,user491@example.com,hash_password_491,2022-03-02,USA,Genre_2,admin,Recomendeitor_Plus,179,491,search_term_179,2022-08-21
849,user_849,user849@example.com,hash_password_849,2022-09-30,Brazil,Genre_8,content_creator,Recomendeitor,180,849,search_term_180,2022-07-08
841,user_841,user841@example.com,hash_password_841,2020-05-12,Italy,Genre_9,content_creator,Recomendeitor,181,841,search_term_181,2021-02-09
988,user_988,user988@example.com,hash_password_988,2022-07-05,France,,moderator,Recomendeitor,182,988,search_term_182,2021-11-22
438,user_438,user438@example.com,hash_password_438,2022-05-08,France,Genre_10,moderator,Recomendeitor,183,438,search_term_183,2021-08-28
839,user_839,user839@example.com,hash_password_839,2022-03-13,Germany,Genre_6,consumer,Recomendeitor_Plus,184,839,search_term_184,2021-08-29
46,user_46,user46@example.com,hash_password_46,2021-06-18,France,Genre_9,consumer,Recomendeitor,185,46,search_term_185,2022-07-22
668,user_668,user668@example.com,hash_password_668,2020-11-17,France,Genre_6,moderator,Recomendeitor,186,668,search_term_186,2022-08-21
401,user_401,user401@example.com,hash_password_401,2021-02-27,France,Genre_5,moderator,Recomendeitor_Plus,187,401,search_term_187,2021-12-13
488,user_488,user488@example.com,hash_password_488,2021-03-09,UK,,consumer,Recomendeitor_Plus,188,488,search_term_188,2021-08-13
432,user_432,user432@example.com,hash_password_432,2022-12-09,Japan,,consumer,Recomendeitor,189,432,search_term_189,2022-05-02
428,user_428,user428@example.com,hash_password_428,2022-05-21,France,Genre_6,content_creator,Recomendeitor_Plus,190,428,search_term_190,2021-05-21
748,user_748,user748@example.com,hash_password_748,2022-05-26,UK,Genre_5,content_creator,Recomendeitor,191,748,search_term_191,2021-04-02
828,user_828,user828@example.com,hash_password_828,2022-01-27,Brazil,Genre_6,admin,Recomendeitor,192,828,search_term_192,2022-11-29
572,user_572,user572@example.com,hash_password_572,2022-10-20,Japan,Genre_2,admin,Recomendeitor,193,572,search_term_193,2021-04-13
517,user_517,user517@example.com,hash_password_517,2021-11-08,France,Genre_5,admin,Recomendeitor,194,517,search_term_194,2021-06-07
965,user_965,user965@example.com,hash_password_965,2021-01-07,USA,Genre_1,moderator,Recomendeitor,195,965,search_term_195,2021-01-03
462,user_462,user462@example.com,hash_password_462,2020-10-05,USA,Genre_8,admin,Recomendeitor,196,462,search_term_196,2022-04-29
966,user_966,user966@example.com,hash_password_966,2020-09-27,Germany,Genre_3,moderator,Recomendeitor,197,966,search_term_197,2022-08-18
903,user_903,user903@example.com,hash_password_903,2020-03-11,France,Genre_1,consumer,Recomendeitor,198,903,search_term_198,2021-07-16
181,user_181,user181@example.com,hash_password_181,2022-07-19,Italy,Genre_8,consumer,Recomendeitor_Plus,199,181,search_term_199,2021-01-10
145,user_145,user145@example.com,hash_password_145,2022-07-14,USA,Genre_5,moderator,Recomendeitor,200,145,search_term_200,2021-12-23
827,user_827,user827@example.com,hash_password_827,2020-10-09,Canada,Genre_3,admin,Recomendeitor,201,827,search_term_201,2022-01-22
265,user_265,user265@example.com,hash_password_265,2022-09-30,India,Genre_8,consumer,Recomendeitor_Plus,202,265,search_term_202,2022-10-27
735,user_735,user735@example.com,hash_password_735,2022-10-09,Italy,Genre_3,admin,Recomendeitor_Plus,203,735,search_term_203,2022-01-23
406,user_406,user406@example.com,hash_password_406,2020-11-12,Italy,Genre_1,admin,Recomendeitor_Plus,204,406,search_term_204,2022-02-27
813,user_813,user813@example.com,hash_password_813,2021-01-16,Canada,,admin,Recomendeitor,205,813,search_term_205,2022-09-20
969,user_969,user969@example.com,hash_password_969,2020-08-31,Japan,,admin,Recomendeitor,206,969,search_term_206,2021-01-05
955,user_955,user955@example.com,hash_password_955,2020-04-03,Germany,Genre_9,admin,Recomendeitor_Plus,207,955,search_term_207,2022-04-18
