id,username,email,password,date_of_registration,country,preferences,user_type,recommendation_system,id,user_id,content_id,interaction_type,interaction_date,id,title,release_date,duration,content_type,rating
746,user_746,user746@example.com,hash_password_746,2022-11-05,Canada,Genre_3,admin,Recomendeitor_Plus,15,746,157,share,2022-08-18,157,Content_157,2018-03-29,154,documentary,2.5
822,user_822,user822@example.com,hash_password_822,2021-08-11,India,Genre_8,consumer,Recomendeitor_Plus,16,822,53,share,2022-12-21,53,Content_53,2015-12-03,54,short,4.6
47,user_47,user47@example.com,hash_password_47,2022-07-26,Canada,Genre_10,content_creator,Recomendeitor,17,47,40,share,2021-12-06,40,Content_40,2012-12-24,32,live,1.2
505,user_505,user505@example.com,hash_password_505,2021-11-06,India,,consumer,Recomendeitor_Plus,18,505,18,comment,2021-10-24,18,Content_18,2017-06-13,35,documentary,4.7
115,user_115,user115@example.com,hash_password_115,2022-09-25,USA,Genre_3,admin,Recomendeitor,19,115,175,comment,2021-11-03,175,Content_175,2022-09-02,93,short,3.2
416,user_416,user416@example.com,hash_password_416,2021-10-20,France,Genre_7,admin,Recomendeitor_Plus,20,416,13,comment,2022-10-01,13,Content_13,2016-11-06,56,short,2.9
767,user_767,user767@example.com,hash_password_767,2021-09-08,India,Genre_8,content_creator,Recomendeitor_Plus,21,767,155,share,2022-05-29,155,Content_155,2017-08-06,65,live,4.1
995,user_995,user995@example.com,hash_password_995,2022-10-03,Italy,Genre_7,moderator,Recomendeitor_Plus,22,995,190,comment,2021-01-24,190,Content_190,2017-06-28,22,short,1.0
223,user_223,user223@example.com,hash_password_223,2021-06-09,India,Genre_6,admin,Recomendeitor,23,223,74,favorite,2022-01-04,74,Content_74,2015-07-02,129,movie,3.8
636,user_636,user636@example.com,hash_password_636,2021-01-19,Brazil,Genre_10,content_creator,Recomendeitor_Plus,24,636,96,share,2021-05-02,96,Content_96,2019-05-06,19,short,4.9
949,user_949,user949@example.com,hash_password_949,2021-04-06,Spain,Genre_3,admin,Recomendeitor,25,949,105,favorite,2022-02-19,105,Content_105,2020-05-11,62,series,4.3
503,user_503,user503@example.com,hash_password_503,2020-06-17,USA,Genre_2,content_creator,Recomendeitor_Plus,26,503,173,favorite,2021-06-20,173,Content_173,2010-09-29,103,series,1.7
672,user_672,user672@example.com,hash_password_672,2022-12-16,USA,Genre_1,moderator,Recomendeitor_Plus,27,672,131,comment,2021-04-16,131,Content_131,2017-10-09,59,short,2.5
958,user_958,user958@example.com,hash_password_958,2020-11-18,Italy,Genre_10,admin,Recomendeitor,28,958,150,share,2022-08-04,150,Content_150,2019-12-27,152,documentary,3.2
933,user_933,user933@example.com,hash_password_933,2020-08-19,Spain,Genre_9,admin,Recomendeitor_Plus,29,933,155,comment,2021-10-31,155,Content_155,2017-08-06,65,live,4.1
96,user_96,user96@example.com,hash_password_96,2022-12-05,Japan,Genre_3,consumer,Recomendeitor_Plus,30,96,183,comment,2022-09-11,183,Content_183,2018-06-05,37,documentary,3.7
107,user_107,user107@example.com,hash_password_107,2020-04-12,UK,Genre_4,moderator,Recomendeitor_Plus,31,107,67,comment,2022-09-12,67,Content_67,2022-12-09,75,short,1.3
632,user_632,user632@example.com,hash_password_632,2020-09-04,France,Genre_7,admin,Recomendeitor_Plus,32,632,33,share,2022-10-22,33,Content_33,2010-05-09,142,series,3.6
613,user_613,user613@example.com,hash_password_613,2021-12-22,Japan,,content_creator,Recomendeitor,33,613,2,share,2022-02-28,2,Content_2,2015-03-27,63,live,2.4
615,user_615,user615@example.com,hash_password_615,2022-05-15,Japan,Genre_10,content_creator,Recomendeitor_Plus,34,615,75,comment,2021-08-18,75,Content_75,2011-12-22,135,documentary,4.1
678,user_678,user678@example.com,hash_password_678,2021-06-30,USA,Genre_10,content_creator,Recomendeitor,35,678,174,favorite,2022-05-08,174,Content_174,2015-06-01,30,series,4.2
926,user_926,user926@example.com,hash_password_926,2022-02-02,India,Genre_10,consumer,Recomendeitor_Plus,36,926,74,favorite,2021-04-22,74,Content_74,2015-07-02,129,movie,3.8
698,user_698,user698@example.com,hash_password_698,2021-12-27,France,Genre_10,content_creator,Recomendeitor,37,698,161,share,2021-08-20,161,Content_161,2022-12-24,129,short,3.8
32,user_32,user32@example.com,hash_password_32,2020-01-11,UK,Genre_3,content_creator,Recomendeitor_Plus,38,32,186,like,2022-06-11,186,Content_186,2018-07-19,56,series,3.5
493,user_493,user493@example.com,hash_password_493,2022-11-21,Brazil,Genre_5,admin,Recomendeitor,39,493,135,comment,2022-11-20,135,Content_135,2013-03-30,78,movie,3.9
66,user_66,user66@example.com,hash_password_66,2020-12-20,Japan,Genre_6,content_creator,Recomendeitor_Plus,40,66,143,comment,2022-12-12,143,Content_143,2015-10-13,116,series,1.8
179,user_179,user179@example.com,hash_password_179,2022-04-03,Canada,Genre_10,moderator,Recomendeitor_Plus,41,179,26,like,2022-09-10,26,Content_26,2014-04-05,34,live,4.8
779,user_779,user779@example.com,hash_password_779,2020-07-07,Spain,Genre_4,moderator,Recomendeitor_Plus,42,779,139,share,2022-11-05,139,Content_139,2012-04-28,165,live,3.9
443,user_443,user443@example.com,hash_password_443,2021-04-23,USA,Genre_5,content_creator,Recomendeitor,43,443,128,favorite,2022-07-21,128,Content_128,2018-03-18,47,movie,1.4
916,user_916,user916@example.com,hash_password_916,2022-01-13,France,,moderator,Recomendeitor_Plus,44,916,166,share,2022-05-19,166,Content_166,2013-03-18,110,movie,4.3
549,user_549,user549@example.com,hash_password_549,2020-09-27,France,Genre_7,consumer,Recomendeitor,45,549,27,favorite,2021-10-17,27,Content_27,2010-06-10,46,series,3.3
201,user_201,user201@example.com,hash_password_201,2022-05-04,Spain,Genre_10,content_creator,Recomendeitor_Plus,46,201,135,favorite,2021-01-09,135,Content_135,2013-03-30,78,movie,3.9
870,user_870,user870@example.com,hash_password_870,2021-06-30,UK,Genre_10,moderator,Recomendeitor,47,870,129,share,2022-03-06,129,Content_129,2018-01-13,96,series,3.1
49,user_49,user49@example.com,hash_password_49,2020-03-08,Italy,Genre_6,content_creator,Recomendeitor,48,49,21,comment,2022-11-11,21,Content_21,2010-09-05,39,movie,4.0
787,user_787,user787@example.com,hash_password_787,2020-04-17,Italy,Genre_3,consumer,Recomendeitor,49,787,79,comment,2022-03-08,79,Content_79,2021-03-10,62,documentary,3.2
951,user_951,user951@example.com,hash_password_951,2021-10-28,Italy,Genre_1,moderator,Recomendeitor,50,951,158,comment,2021-04-20,158,Content_158,2015-11-15,166,short,1.1
680,user_680,user680@example.com,hash_password_680,2021-08-28,Brazil,Genre_2,content_creator,Recomendeitor_Plus,51,680,94,favorite,2021-04-06,94,Content_94,2013-06-18,41,movie,1.0
263,user_263,user263@example.com,hash_password_263,2022-11-12,Spain,Genre_6,content_creator,Recomendeitor_Plus,52,263,8,comment,2021-02-02,8,Content_8,2012-02-12,178,documentary,4.4
133,user_133,user133@example.com,hash_password_133,2020-05-21,UK,Genre_5,moderator,Recomendeitor_Plus,53,133,83,favorite,2021-01-04,83,Content_83,2010-12-03,167,movie,1.5
810,user_810,user810@example.com,hash_password_810,2022-07-09,Japan,Genre_7,admin,Recomendeitor,54,810,3,comment,2022-03-21,3,Content_3,2020-02-15,147,live,4.7
344,user_344,user344@example.com,hash_password_344,2020-05-07,Germany,Genre_2,admin,Recomendeitor,55,344,55,share,2022-04-09,55,Content_55,2015-09-03,92,live,4.6
176,user_176,user176@example.com,hash_password_176,2021-08-03,USA,Genre_5,admin,Recomendeitor,56,176,143,like,2021-11-03,143,Content_143,2015-10-13,116,series,1.8
391,user_391,user391@example.com,hash_password_391,2022-05-11,India,Genre_7,content_creator,Recomendeitor,57,391,36,favorite,2022-02-22,36,Content_36,2019-10-21,10,documentary,4.7
11,user_11,user11@example.com,hash_password_11,2020-05-15,Germany,Genre_1,consumer,Recomendeitor_Plus,58,11,6,share,2022-03-02,6,Content_6,2014-11-29,135,short,1.9
201,user_201,user201@example.com,hash_password_201,2022-05-04,Spain,Genre_10,content_creator,Recomendeitor_Plus,59,201,121,favorite,2021-03-08,121,Content_121,2018-06-24,114,movie,4.8
945,user_945,user945@example.com,hash_password_945,2022-03-22,UK,Genre_2,content_creator,Recomendeitor,60,945,42,favorite,2021-08-25,42,Content_42,2018-10-30,43,movie,1.7
926,user_926,user926@example.com,hash_password_926,2022-02-02,India,Genre_10,consumer,Recomendeitor_Plus,61,926,50,share,2021-06-13,50,Content_50,2018-05-14,12,movie,4.0
809,user_809,user809@example.com,hash_password_809,2021-11-07,Germany,Genre_2,admin,Recomendeitor,62,809,112,comment,2022-08-05,112,Content_112,2019-05-25,17,documentary,2.6
3,user_3,user3@example.com,hash_password_3,2020-02-08,Brazil,,moderator,Recomendeitor_Plus,63,3,146,favorite,2022-07-30,146,Content_146,2010-01-16,164,documentary,4.9
214,user_214,user214@example.com,hash_password_214,2022-10-06,Germany,Genre_2,moderator,Recomendeitor_Plus,64,214,50,like,2022-12-03,50,Content_50,2018-05-14,12,movie,4.0
808,user_808,user808@example.com,hash_password_808,2021-12-23,India,Genre_4,content_creator,Recomendeitor,65,808,30,like,2022-07-18,30,Content_30,2021-06-21,46,series,2.0
307,user_307,user307@example.com,hash_password_307,2022-12-18,Germany,Genre_9,content_creator,Recomendeitor,66,307,39,share,2021-09-25,39,Content_39,2022-11-13,113,short,1.9
980,user_980,user980@example.com,hash_password_980,2021-03-15,France,Genre_6,consumer,Recomendeitor,67,980,116,like,2021-06-14,116,Content_116,2011-12-07,43,short,3.2
544,user_544,user544@example.com,hash_password_544,2020-10-25,Japan,Genre_2,consumer,Recomendeitor_Plus,68,544,140,share,2021-11-17,140,Content_140,2011-03-10,148,series,4.4
560,user_560,user560@example.com,hash_password_560,2022-06-19,Germany,,moderator,Recomendeitor,69,560,59,share,2022-12-05,59,Content_59,2012-09-26,75,series,3.0
327,user_327,user327@example.com,hash_password_327,2020-03-29,USA,Genre_10,admin,Recomendeitor,70,327,76,favorite,2022-05-17,76,Content_76,2016-11-16,64,movie,3.6
764,user_764,user764@example.com,hash_password_764,2022-06-13,India,Genre_5,admin,Recomendeitor,71,764,172,share,2022-10-24,172,Content_172,2016-12-27,34,documentary,4.5
199,user_199,user199@example.com,hash_password_199,2022-10-21,Canada,,consumer,Recomendeitor_Plus,72,199,132,share,2022-02-03,132,Content_132,2019-05-19,17,short,4.7
916,user_916,user916@example.com,hash_password_916,2022-01-13,France,,moderator,Recomendeitor_Plus,73,916,164,comment,2021-04-21,164,Content_164,2017-09-30,158,documentary,1.9
601,user_601,user601@example.com,hash_password_601,2021-09-12,France,Genre_3,content_creator,Recomendeitor_Plus,74,601,48,favorite,2021-05-06,48,Content_48,2017-06-01,108,short,3.3
109,user_109,user109@example.com,hash_password_109,2022-05-31,Spain,Genre_8,content_creator,Recomendeitor,75,109,142,like,2021-05-23,142,Content_142,2017-01-22,74,live,4.2
291,user_291,user291@example.com,hash_password_291,2021-01-02,France,Genre_9,content_creator,Recomendeitor,76,291,81,comment,2021-06-21,81,Content_81,2017-11-10,74,documentary,2.7
108,user_108,user108@example.com,hash_password_108,2020-11-23,Brazil,Genre_1,admin,Recomendeitor_Plus,77,108,49,comment,2022-04-25,49,Content_49,2020-10-19,81,short,3.1
408,user_408,user408@example.com,hash_password_408,2022-09-12,Japan,Genre_8,content_creator,Recomendeitor,78,408,67,favorite,2022-10-11,67,Content_67,2022-12-09,75,short,1.3
552,user_552,user552@example.com,hash_password_552,2021-04-12,UK,Genre_2,admin,Recomendeitor,79,552,77,favorite,2021-07-16,77,Content_77,2018-10-03,36,movie,1.6
973,user_973,user973@example.com,hash_password_973,2022-12-06,Spain,Genre_2,content_creator,Recomendeitor,80,973,137,comment,2021-05-31,137,Content_137,2018-08-25,73,documentary,4.7
52,user_52,user52@example.com,hash_password_52,2020-07-12,USA,Genre_2,admin,Recomendeitor_Plus,81,52,21,favorite,2021-03-31,21,Content_21,2010-09-05,39,movie,4.0
112,user_112,user112@example.com,hash_password_112,2022-10-15,UK,Genre_3,consumer,Recomendeitor_Plus,82,112,105,favorite,2021-05-21,105,Content_105,2020-05-11,62,series,4.3
295,user_295,user295@example.com,hash_password_295,2022-01-17,USA,Genre_2,content_creator,Recomendeitor,83,295,72,share,2022-06-06,72,Content_72,2015-05-09,48,short,4.3
580,user_580,user580@example.com,hash_password_580,2020-05-25,USA,Genre_6,content_creator,Recomendeitor,84,580,16,favorite,2022-09-14,16,Content_16,2019-03-10,123,live,2.2
189,user_189,user189@example.com,hash_password_189,2020-03-30,Spain,Genre_3,consumer,Recomendeitor,85,189,144,share,2022-03-17,144,Content_144,2018-08-21,156,series,2.4
844,user_844,user844@example.com,hash_password_844,2022-01-28,UK,Genre_5,admin,Recomendeitor,86,844,28,comment,2022-10-24,28,Content_28,2011-07-22,10,live,2.4
721,user_721,user721@example.com,hash_password_721,2021-06-08,Japan,Genre_6,moderator,Recomendeitor_Plus,87,721,179,comment,2021-02-12,179,Content_179,2016-07-27,154,documentary,1.6
65,user_65,user65@example.com,hash_password_65,2022-10-24,Canada,Genre_4,moderator,Recomendeitor,88,65,184,like,2022-10-24,184,Content_184,2010-08-19,50,documentary,4.2
574,user_574,user574@example.com,hash_password_574,2021-03-16,Brazil,,moderator,Recomendeitor_Plus,89,574,80,favorite,2022-08-07,80,Content_80,2019-03-26,48,short,2.1
465,user_465,user465@example.com,hash_password_465,2022-11-06,Japan,Genre_4,consumer,Recomendeitor,90,465,57,comment,2022-12-26,57,Content_57,2021-05-27,111,documentary,4.1
258,user_258,user258@example.com,hash_password_258,2021-07-04,UK,Genre_6,admin,Recomendeitor_Plus,91,258,110,share,2022-03-03,110,Content_110,2019-05-16,13,documentary,4.9
646,user_646,user646@example.com,hash_password_646,2021-03-19,France,Genre_9,content_creator,Recomendeitor_Plus,92,646,52,comment,2021-12-25,52,Content_52,2017-12-30,43,series,2.4
634,user_634,user634@example.com,hash_password_634,2021-11-30,Canada,Genre_5,content_creator,Recomendeitor,93,634,174,favorite,2022-05-16,174,Content_174,2015-06-01,30,series,4.2
331,user_331,user331@example.com,hash_password_331,2020-04-16,Spain,Genre_10,consumer,Recomendeitor_Plus,94,331,166,like,2022-03-03,166,Content_166,2013-03-18,110,movie,4.3
501,user_501,user501@example.com,hash_password_501,2021-02-16,India,Genre_8,admin,Recomendeitor,95,501,84,like,2021-02-26,84,Content_84,2013-03-11,22,live,4.1
683,user_683,user683@example.com,hash_password_683,2022-04-28,Italy,Genre_1,moderator,Recomendeitor,96,683,48,comment,2021-08-14,48,Content_48,2017-06-01,108,short,3.3
210,user_210,user210@example.com,hash_password_210,2020-11-08,UK,Genre_10,consumer,Recomendeitor,97,210,127,like,2022-06-06,127,Content_127,2017-01-25,105,series,4.0
808,user_808,user808@example.com,hash_password_808,2021-12-23,India,Genre_4,content_creator,Recomendeitor,98,808,169,favorite,2021-02-22,169,Content_169,2019-09-24,117,live,1.2
89,user_89,user89@example.com,hash_password_89,2022-04-09,Brazil,Genre_7,content_creator,Recomendeitor_Plus,99,89,98,favorite,2021-07-14,98,Content_98,2014-11-25,61,documentary,3.7
679,user_679,user679@example.com,hash_password_679,2021-04-08,USA,Genre_8,admin,Recomendeitor_Plus,100,679,118,like,2021-03-18,118,Content_118,2011-12-31,107,documentary,1.7
28,user_28,user28@example.com,hash_password_28,2020-12-08,UK,Genre_9,content_creator,Recomendeitor,101,28,187,share,2021-06-03,187,Content_187,2020-01-16,155,series,3.3
238,user_238,user238@example.com,hash_password_238,2020-04-20,India,Genre_10,content_creator,Recomendeitor,102,238,93,like,2022-07-18,93,Content_93,2010-11-17,32,series,1.9
336,user_336,user336@example.com,hash_password_336,2021-09-19,UK,Genre_5,moderator,Recomendeitor,103,336,67,like,2022-03-27,67,Content_67,2022-12-09,75,short,1.3
63,user_63,user63@example.com,hash_password_63,2020-04-18,Canada,Genre_9,moderator,Recomendeitor_Plus,104,63,74,comment,2022-01-14,74,Content_74,2015-07-02,129,movie,3.8
960,user_960,user960@example.com,hash_password_960,2020-11-23,Spain,Genre_5,content_creator,Recomendeitor,105,960,84,share,2021-09-14,84,Content_84,2013-03-11,22,live,4.1
767,user_767,user767@example.com,hash_password_767,2021-09-08,India,Genre_8,content_creator,Recomendeitor_Plus,106,767,194,like,2021-10-05,194,Content_194,2010-04-06,139,documentary,2.2
908,user_908,user908@example.com,hash_password_908,2020-07-15,Canada,Genre_10,content_creator,Recomendeitor_Plus,107,908,155,comment,2021-04-10,155,Content_155,2017-08-06,65,live,4.1
553,user_553,user553@example.com,hash_password_553,2021-09-22,Brazil,Genre_5,consumer,Recomendeitor_Plus,108,553,160,comment,2022-06-06,160,Content_160,2019-05-23,69,movie,1.0
500,user_500,user500@example.com,hash_password_500,2022-06-20,UK,Genre_3,consumer,Recomendeitor,109,500,184,comment,2022-05-25,184,Content_184,2010-08-19,50,documentary,4.2
541,user_541,user541@example.com,hash_password_541,2021-04-04,Spain,Genre_9,admin,Recomendeitor_Plus,110,541,10,favorite,2021-07-02,10,Content_10,2021-09-19,44,short,1.4
791,user_791,user791@example.com,hash_password_791,2020-01-20,Japan,Genre_1,consumer,Recomendeitor,111,791,168,comment,2021-03-19,168,Content_168,2014-01-23,33,documentary,4.9
469,user_469,user469@example.com,hash_password_469,2022-12-25,UK,Genre_9,content_creator,Recomendeitor,112,469,145,comment,2021-08-10,145,Content_145,2014-07-19,146,live,2.3
592,user_592,user592@example.com,hash_password_592,2020-04-23,Germany,Genre_7,admin,Recomendeitor,113,592,186,favorite,2022-04-27,186,Content_186,2018-07-19,56,series,3.5
51,user_51,user51@example.com,hash_password_51,2022-04-13,UK,Genre_7,admin,Recomendeitor_Plus,114,51,118,favorite,2021-02-24,118,Content_118,2011-12-31,107,documentary,1.7
112,user_112,user112@example.com,hash_password_112,2022-10-15,UK,Genre_3,consumer,Recomendeitor_Plus,115,112,97,comment,2022-12-01,97,Content_97,2012-03-25,63,series,1.9
873,user_873,user873@example.com,hash_password_873,2021-02-24,Germany,Genre_2,admin,Recomendeitor_Plus,116,873,6,like,2021-05-31,6,Content_6,2014-11-29,135,short,1.9
301,user_301,user301@example.com,hash_password_301,2020-01-04,France,Genre_5,content_creator,Recomendeitor_Plus,117,301,167,share,2021-09-04,167,Content_167,2021-11-13,170,short,3.2
90,user_90,user90@example.com,hash_password_90,2021-01-15,UK,Genre_3,admin,Recomendeitor,118,90,18,favorite,2022-01-13,18,Content_18,2017-06-13,35,documentary,4.7
229,user_229,user229@example.com,hash_password_229,2020-12-08,Japan,Genre_8,admin,Recomendeitor,119,229,72,share,2021-12-17,72,Content_72,2015-05-09,48,short,4.3
150,user_150,user150@example.com,hash_password_150,2020-01-18,India,Genre_7,admin,Recomendeitor_Plus,120,150,89,favorite,2021-09-13,89,Content_89,2018-06-25,66,short,4.9
755,user_755,user755@example.com,hash_password_755,2022-07-30,France,Genre_3,moderator,Recomendeitor_Plus,121,755,42,comment,2022-04-24,42,Content_42,2018-10-30,43,movie,1.7
138,user_138,user138@example.com,hash_password_138,2020-09-05,France,Genre_2,content_creator,Recomendeitor,122,138,4,favorite,2022-05-28,4,Content_4,2022-09-28,51,series,1.9
135,user_135,user135@example.com,hash_password_135,2020-06-19,Canada,Genre_3,consumer,Recomendeitor_Plus,123,135,20,comment,2021-08-26,20,Content_20,2020-03-05,80,live,1.2
457,user_457,user457@example.com,hash_password_457,2021-01-02,Canada,Genre_1,moderator,Recomendeitor_Plus,124,457,28,share,2022-06-23,28,Content_28,2011-07-22,10,live,2.4
601,user_601,user601@example.com,hash_password_601,2021-09-12,France,Genre_3,content_creator,Recomendeitor_Plus,125,601,168,like,2022-03-30,168,Content_168,2014-01-23,33,documentary,4.9
494,user_494,user494@example.com,hash_password_494,2022-04-12,Italy,Genre_5,admin,Recomendeitor_Plus,126,494,193,comment,2021-04-29,193,Content_193,2017-10-10,40,movie,3.2
527,user_527,user527@example.com,hash_password_527,2022-10-28,Italy,Genre_3,consumer,Recomendeitor_Plus,127,527,104,share,2022-03-16,104,Content_104,2020-09-19,119,short,3.9
333,user_333,user333@example.com,hash_password_333,2020-04-15,Japan,Genre_6,content_creator,Recomendeitor_Plus,128,333,44,share,2022-03-17,44,Content_44,2017-07-10,13,series,2.1
362,user_362,user362@example.com,hash_password_362,2021-12-11,Japan,Genre_7,admin,Recomendeitor,129,362,23,favorite,2021-10-11,23,Content_23,2022-07-01,76,series,2.6
174,user_174,user174@example.com,hash_password_174,2020-11-04,USA,Genre_9,admin,Recomendeitor_Plus,130,174,185,comment,2022-09-20,185,Content_185,2012-02-24,108,live,2.0
602,user_602,user602@example.com,hash_password_602,2021-01-14,Spain,Genre_1,moderator,Recomendeitor_Plus,131,602,47,share,2021-09-03,47,Content_47,2019-12-17,84,movie,2.7
213,user_213,user213@example.com,hash_password_213,2022-11-09,Italy,Genre_6,moderator,Recomendeitor,132,213,13,like,2021-11-29,13,Content_13,2016-11-06,56,short,2.9
343,user_343,user343@example.com,hash_password_343,2022-08-20,Germany,Genre_7,consumer,Recomendeitor_Plus,133,343,144,favorite,2021-05-11,144,Content_144,2018-08-21,156,series,2.4
61,user_61,user61@example.com,hash_password_61,2020-10-25,Germany,Genre_6,content_creator,Recomendeitor_Plus,134,61,183,favorite,2021-01-04,183,Content_183,2018-06-05,37,documentary,3.7
876,user_876,user876@example.com,hash_password_876,2020-12-24,Japan,,consumer,Recomendeitor,135,876,95,share,2021-09-01,95,Content_95,2014-07-18,83,live,3.9
732,user_732,user732@example.com,hash_password_732,2020-12-14,Canada,Genre_9,admin,Recomendeitor,136,732,193,comment,2021-07-11,193,Content_193,2017-10-10,40,movie,3.2
61,user_61,user61@example.com,hash_password_61,2020-10-25,Germany,Genre_6,content_creator,Recomendeitor_Plus,137,61,16,favorite,2022-09-03,16,Content_16,2019-03-10,123,live,2.2
819,user_819,user819@example.com,hash_password_819,2022-06-04,USA,Genre_5,content_creator,Recomendeitor,138,819,119,comment,2021-06-22,119,Content_119,2021-01-07,136,documentary,4.1
678,user_678,user678@example.com,hash_password_678,2021-06-30,USA,Genre_10,content_creator,Recomendeitor,139,678,165,share,2022-07-08,165,Content_165,2015-06-23,22,series,3.8
524,user_524,user524@example.com,hash_password_524,2021-07-19,France,,admin,Recomendeitor_Plus,140,524,180,share,2022-07-29,180,Content_180,2021-04-17,110,live,2.2
216,user_216,user216@example.com,hash_password_216,2021-11-11,USA,Genre_5,moderator,Recomendeitor_Plus,141,216,117,comment,2022-05-13,117,Content_117,2017-11-07,91,short,3.8
589,user_589,user589@example.com,hash_password_589,2021-01-15,Spain,Genre_1,content_creator,Recomendeitor,142,589,10,like,2021-12-05,10,Content_10,2021-09-19,44,short,1.4
744,user_744,user744@example.com,hash_password_744,2020-07-15,UK,Genre_6,moderator,Recomendeitor_Plus,143,744,122,favorite,2021-08-03,122,Content_122,2022-03-11,58,short,1.2
624,user_624,user624@example.com,hash_password_624,2022-07-14,India,Genre_8,content_creator,Recomendeitor,144,624,38,share,2022-10-15,38,Content_38,2022-12-25,44,short,3.0
578,user_578,user578@example.com,hash_password_578,2022-08-19,UK,,moderator,Recomendeitor,145,578,44,like,2021-10-07,44,Content_44,2017-07-10,13,series,2.1
694,user_694,user694@example.com,hash_password_694,2022-11-05,India,Genre_10,admin,Recomendeitor,146,694,95,like,2021-04-15,95,Content_95,2014-07-18,83,live,3.9
423,user_423,user423@example.com,hash_password_423,2021-02-10,France,Genre_4,admin,Recomendeitor_Plus,147,423,74,comment,2022-06-12,74,Content_74,2015-07-02,129,movie,3.8
716,user_716,user716@example.com,hash_password_716,2021-08-11,Japan,,consumer,Recomendeitor_Plus,148,716,182,comment,2022-07-24,182,Content_182,2012-08-03,112,movie,4.5
423,user_423,user423@example.com,hash_password_423,2021-02-10,France,Genre_4,admin,Recomendeitor_Plus,149,423,113,comment,2021-09-15,113,Content_113,2016-12-10,21,documentary,3.4
371,user_371,user371@example.com,hash_password_371,2022-04-15,Germany,Genre_10,content_creator,Recomendeitor_Plus,150,371,51,like,2022-11-13,51,Content_51,2011-07-21,151,short,2.1
206,user_206,user206@example.com,hash_password_206,2021-10-19,Germany,,content_creator,Recomendeitor,151,206,52,favorite,2022-01-08,52,Content_52,2017-12-30,43,series,2.4
286,user_286,user286@example.com,hash_password_286,2020-03-19,Brazil,Genre_1,content_creator,Recomendeitor_Plus,152,286,198,comment,2021-12-26,198,Content_198,2021-02-20,175,short,2.3
105,user_105,user105@example.com,hash_password_105,2021-09-15,Brazil,Genre_6,moderator,Recomendeitor_Plus,153,105,92,favorite,2021-12-12,92,Content_92,2022-12-06,90,short,2.2
754,user_754,user754@example.com,hash_password_754,2020-09-17,Spain,Genre_3,content_creator,Recomendeitor,154,754,59,comment,2021-10-06,59,Content_59,2012-09-26,75,series,3.0
747,user_747,user747@example.com,hash_password_747,2020-06-26,Japan,Genre_6,content_creator,Recomendeitor,155,747,13,like,2022-08-25,13,Content_13,2016-11-06,56,short,2.9
688,user_688,user688@example.com,hash_password_688,2021-02-27,Spain,Genre_10,admin,Recomendeitor,156,688,169,favorite,2021-08-26,169,Content_169,2019-09-24,117,live,1.2
