id,username,email,password,date_of_registration,country,preferences,user_type,recommendation_system,user_id,content_id,id,title,release_date,duration,content_type,rating
336,user_336,user336@example.com,hash_password_336,2021-09-19,UK,Genre_5,moderator,Recomendeitor,336,191,191,Content_191,2011-09-12,150,movie,3.7
831,user_831,user831@example.com,hash_password_831,2021-02-05,India,Genre_9,content_creator,Recomendeitor,831,92,92,Content_92,2022-12-06,90,short,2.2
569,user_569,user569@example.com,hash_password_569,2022-03-05,Italy,Genre_8,content_creator,Recomendeitor,569,22,22,Content_22,2017-05-08,144,movie,2.5
285,user_285,user285@example.com,hash_password_285,2020-06-01,Spain,Genre_1,moderator,Recomendeitor_Plus,285,20,20,Content_20,2020-03-05,80,live,1.2
129,user_129,user129@example.com,hash_password_129,2020-12-06,Italy,,content_creator,Recomendeitor_Plus,129,33,33,Content_33,2010-05-09,142,series,3.6
892,user_892,user892@example.com,hash_password_892,2020-06-05,Germany,Genre_7,content_creator,Recomendeitor,892,143,143,Content_143,2015-10-13,116,series,1.8
978,user_978,user978@example.com,hash_password_978,2020-12-25,Brazil,Genre_8,content_creator,Recomendeitor,978,135,135,Content_135,2013-03-30,78,movie,3.9
315,user_315,user315@example.com,hash_password_315,2020-03-31,Spain,Genre_7,consumer,Recomendeitor,315,90,90,Content_90,2020-08-22,34,short,1.9
960,user_960,user960@example.com,hash_password_960,2020-11-23,Spain,Genre_5,content_creator,Recomendeitor,960,50,50,Content_50,2018-05-14,12,movie,4.0
598,user_598,user598@example.com,hash_password_598,2022-12-17,India,Genre_6,admin,Recomendeitor_Plus,598,10,10,Content_10,2021-09-19,44,short,1.4
712,user_712,user712@example.com,hash_password_712,2021-12-18,Spain,Genre_8,content_creator,Recomendeitor,712,79,79,Content_79,2021-03-10,62,documentary,3.2
71,user_71,user71@example.com,hash_password_71,2021-08-13,Brazil,,consumer,Recomendeitor_Plus,71,37,37,Content_37,2010-09-07,173,movie,1.4
345,user_345,user345@example.com,hash_password_345,2021-10-13,USA,Genre_4,moderator,Recomendeitor,345,59,59,Content_59,2012-09-26,75,series,3.0
990,user_990,user990@example.com,hash_password_990,2020-11-03,Japan,Genre_6,consumer,Recomendeitor,990,88,88,Content_88,2022-11-14,28,live,1.2
98,user_98,user98@example.com,hash_password_98,2020-12-07,Italy,Genre_1,moderator,Recomendeitor,98,104,104,Content_104,2020-09-19,119,short,3.9
300,user_300,user300@example.com,hash_password_300,2021-08-11,India,Genre_3,content_creator,Recomendeitor_Plus,300,63,63,Content_63,2018-06-06,171,movie,2.3
176,user_176,user176@example.com,hash_password_176,2021-08-03,USA,Genre_5,admin,Recomendeitor,176,21,21,Content_21,2010-09-05,39,movie,4.0
745,user_745,user745@example.com,hash_password_745,2022-01-05,UK,Genre_2,admin,Recomendeitor_Plus,745,104,104,Content_104,2020-09-19,119,short,3.9
884,user_884,user884@example.com,hash_password_884,2020-10-24,Brazil,Genre_2,moderator,Recomendeitor,884,79,79,Content_79,2021-03-10,62,documentary,3.2
75,user_75,user75@example.com,hash_password_75,2021-07-20,Brazil,Genre_5,content_creator,Recomendeitor_Plus,75,37,37,Content_37,2010-09-07,173,movie,1.4
143,user_143,user143@example.com,hash_password_143,2021-08-20,India,Genre_4,consumer,Recomendeitor,143,45,45,Content_45,2014-09-25,167,short,4.8
931,user_931,user931@example.com,hash_password_931,2020-03-24,Brazil,Genre_1,content_creator,Recomendeitor,931,142,142,Content_142,2017-01-22,74,live,4.2
23,user_23,user23@example.com,hash_password_23,2020-11-04,Japan,Genre_5,admin,Recomendeitor_Plus,23,43,43,Content_43,2021-01-31,137,short,4.5
181,user_181,user181@example.com,hash_password_181,2022-07-19,Italy,Genre_8,consumer,Recomendeitor_Plus,181,116,116,Content_116,2011-12-07,43,short,3.2
45,user_45,user45@example.com,hash_password_45,2021-07-11,Japan,Genre_4,admin,Recomendeitor,45,85,85,Content_85,2018-10-27,30,series,1.0
469,user_469,user469@example.com,hash_password_469,2022-12-25,UK,Genre_9,content_creator,Recomendeitor,469,84,84,Content_84,2013-03-11,22,live,4.1
92,user_92,user92@example.com,hash_password_92,2021-12-19,USA,Genre_8,admin,Recomendeitor,92,161,161,Content_161,2022-12-24,129,short,3.8
269,user_269,user269@example.com,hash_password_269,2021-06-11,USA,Genre_4,content_creator,Recomendeitor_Plus,269,3,3,Content_3,2020-02-15,147,live,4.7
34,user_34,user34@example.com,hash_password_34,2022-12-20,UK,Genre_5,content_creator,Recomendeitor,34,104,104,Content_104,2020-09-19,119,short,3.9
678,user_678,user678@example.com,hash_password_678,2021-06-30,USA,Genre_10,content_creator,Recomendeitor,678,87,87,Content_87,2020-08-04,62,short,3.1
582,user_582,user582@example.com,hash_password_582,2022-11-11,Brazil,,consumer,Recomendeitor,582,172,172,Content_172,2016-12-27,34,documentary,4.5
364,user_364,user364@example.com,hash_password_364,2020-04-22,Spain,Genre_8,admin,Recomendeitor,364,111,111,Content_111,2010-03-26,68,live,4.0
708,user_708,user708@example.com,hash_password_708,2020-05-10,UK,Genre_9,moderator,Recomendeitor,708,87,87,Content_87,2020-08-04,62,short,3.1
133,user_133,user133@example.com,hash_password_133,2020-05-21,UK,Genre_5,moderator,Recomendeitor_Plus,133,91,91,Content_91,2017-07-09,40,series,2.2
759,user_759,user759@example.com,hash_password_759,2021-04-28,India,Genre_1,consumer,Recomendeitor_Plus,759,35,35,Content_35,2014-08-02,136,movie,1.8
382,user_382,user382@example.com,hash_password_382,2021-11-11,Brazil,Genre_7,moderator,Recomendeitor,382,153,153,Content_153,2018-05-01,92,movie,2.5
680,user_680,user680@example.com,hash_password_680,2021-08-28,Brazil,Genre_2,content_creator,Recomendeitor_Plus,680,96,96,Content_96,2019-05-06,19,short,4.9
966,user_966,user966@example.com,hash_password_966,2020-09-27,Germany,Genre_3,moderator,Recomendeitor,966,86,86,Content_86,2016-02-27,156,series,2.7
277,user_277,user277@example.com,hash_password_277,2021-10-17,USA,Genre_2,moderator,Recomendeitor,277,136,136,Content_136,2020-03-13,130,series,2.8
156,user_156,user156@example.com,hash_password_156,2022-09-22,France,Genre_3,consumer,Recomendeitor,156,116,116,Content_116,2011-12-07,43,short,3.2
387,user_387,user387@example.com,hash_password_387,2022-10-12,France,Genre_8,moderator,Recomendeitor_Plus,387,190,190,Content_190,2017-06-28,22,short,1.0
535,user_535,user535@example.com,hash_password_535,2021-04-25,Italy,Genre_4,admin,Recomendeitor,535,146,146,Content_146,2010-01-16,164,documentary,4.9
200,user_200,user200@example.com,hash_password_200,2022-01-08,Spain,Genre_4,moderator,Recomendeitor,200,92,92,Content_92,2022-12-06,90,short,2.2
275,user_275,user275@example.com,hash_password_275,2021-11-27,UK,,consumer,Recomendeitor_Plus,275,156,156,Content_156,2019-03-01,174,series,3.9
501,user_501,user501@example.com,hash_password_501,2021-02-16,India,Genre_8,admin,Recomendeitor,501,140,140,Content_140,2011-03-10,148,series,4.4
459,user_459,user459@example.com,hash_password_459,2020-10-02,Canada,Genre_3,content_creator,Recomendeitor,459,192,192,Content_192,2018-12-13,109,documentary,1.2
50,user_50,user50@example.com,hash_password_50,2021-12-14,Brazil,Genre_2,admin,Recomendeitor,50,2,2,Content_2,2015-03-27,63,live,2.4
970,user_970,user970@example.com,hash_password_970,2020-01-05,France,Genre_3,content_creator,Recomendeitor,970,187,187,Content_187,2020-01-16,155,series,3.3
698,user_698,user698@example.com,hash_password_698,2021-12-27,France,Genre_10,content_creator,Recomendeitor,698,165,165,Content_165,2015-06-23,22,series,3.8
988,user_988,user988@example.com,hash_password_988,2022-07-05,France,,moderator,Recomendeitor,988,124,124,Content_124,2018-08-29,102,movie,3.4
532,user_532,user532@example.com,hash_password_532,2020-07-12,Japan,Genre_5,admin,Recomendeitor,532,4,4,Content_4,2022-09-28,51,series,1.9
628,user_628,user628@example.com,hash_password_628,2022-02-23,UK,Genre_8,admin,Recomendeitor_Plus,628,169,169,Content_169,2019-09-24,117,live,1.2
92,user_92,user92@example.com,hash_password_92,2021-12-19,USA,Genre_8,admin,Recomendeitor,92,173,173,Content_173,2010-09-29,103,series,1.7
861,user_861,user861@example.com,hash_password_861,2022-06-22,Canada,Genre_3,moderator,Recomendeitor_Plus,861,109,109,Content_109,2015-04-15,39,series,4.2
456,user_456,user456@example.com,hash_password_456,2020-08-28,Japan,Genre_2,content_creator,Recomendeitor_Plus,456,111,111,Content_111,2010-03-26,68,live,4.0
339,user_339,user339@example.com,hash_password_339,2021-01-17,Brazil,Genre_3,content_creator,Recomendeitor,339,34,34,Content_34,2021-06-09,137,documentary,2.0
53,user_53,user53@example.com,hash_password_53,2021-08-11,Germany,,admin,Recomendeitor_Plus,53,87,87,Content_87,2020-08-04,62,short,3.1
496,user_496,user496@example.com,hash_password_496,2020-02-12,USA,Genre_2,content_creator,Recomendeitor,496,13,13,Content_13,2016-11-06,56,short,2.9
635,user_635,user635@example.com,hash_password_635,2021-02-06,Japan,Genre_8,moderator,Recomendeitor,635,7,7,Content_7,2017-06-21,30,series,2.3
853,user_853,user853@example.com,hash_password_853,2020-05-24,Germany,Genre_2,admin,Recomendeitor_Plus,853,32,32,Content_32,2019-12-28,145,short,2.4
850,user_850,user850@example.com,hash_password_850,2022-02-01,Spain,Genre_6,consumer,Recomendeitor,850,23,23,Content_23,2022-07-01,76,series,2.6
777,user_777,user777@example.com,hash_password_777,2022-11-28,Germany,Genre_2,consumer,Recomendeitor_Plus,777,177,177,Content_177,2021-12-31,46,documentary,1.5
4,user_4,user4@example.com,hash_password_4,2021-03-03,France,Genre_4,admin,Recomendeitor_Plus,4,200,200,Content_200,2011-04-10,109,live,2.6
681,user_681,user681@example.com,hash_password_681,2021-10-12,Canada,Genre_1,admin,Recomendeitor_Plus,681,47,47,Content_47,2019-12-17,84,movie,2.7
281,user_281,user281@example.com,hash_password_281,2021-01-23,Spain,Genre_5,moderator,Recomendeitor_Plus,281,165,165,Content_165,2015-06-23,22,series,3.8
290,user_290,user290@example.com,hash_password_290,2020-05-24,USA,Genre_10,moderator,Recomendeitor_Plus,290,176,176,Content_176,2018-01-17,149,short,2.6
73,user_73,user73@example.com,hash_password_73,2021-12-05,Canada,Genre_10,consumer,Recomendeitor_Plus,73,29,29,Content_29,2013-11-23,152,live,4.2
137,user_137,user137@example.com,hash_password_137,2022-09-01,India,Genre_8,moderator,Recomendeitor_Plus,137,165,165,Content_165,2015-06-23,22,series,3.8
768,user_768,user768@example.com,hash_password_768,2020-11-04,Spain,Genre_2,content_creator,Recomendeitor,768,38,38,Content_38,2022-12-25,44,short,3.0
971,user_971,user971@example.com,hash_password_971,2021-09-26,Japan,Genre_8,admin,Recomendeitor_Plus,971,127,127,Content_127,2017-01-25,105,series,4.0
653,user_653,user653@example.com,hash_password_653,2020-08-02,India,Genre_8,content_creator,Recomendeitor,653,44,44,Content_44,2017-07-10,13,series,2.1
998,user_998,user998@example.com,hash_password_998,2020-08-08,Brazil,Genre_5,moderator,Recomendeitor_Plus,998,5,5,Content_5,2019-09-07,73,movie,3.5
393,user_393,user393@example.com,hash_password_393,2022-10-27,USA,Genre_5,moderator,Recomendeitor,393,180,180,Content_180,2021-04-17,110,live,2.2
208,user_208,user208@example.com,hash_password_208,2022-04-17,UK,Genre_2,content_creator,Recomendeitor,208,40,40,Content_40,2012-12-24,32,live,1.2
260,user_260,user260@example.com,hash_password_260,2021-09-30,Canada,Genre_7,admin,Recomendeitor_Plus,260,139,139,Content_139,2012-04-28,165,live,3.9
930,user_930,user930@example.com,hash_password_930,2022-12-02,Italy,Genre_9,admin,Recomendeitor,930,78,78,Content_78,2010-01-08,127,live,4.5
263,user_263,user263@example.com,hash_password_263,2022-11-12,Spain,Genre_6,content_creator,Recomendeitor_Plus,263,106,106,Content_106,2014-01-26,161,movie,1.7
783,user_783,user783@example.com,hash_password_783,2022-04-07,Canada,Genre_3,moderator,Recomendeitor_Plus,783,130,130,Content_130,2014-02-23,97,live,3.0
505,user_505,user505@example.com,hash_password_505,2021-11-06,India,,consumer,Recomendeitor_Plus,505,163,163,Content_163,2016-06-01,32,short,2.8
550,user_550,user550@example.com,hash_password_550,2022-08-14,France,Genre_10,admin,Recomendeitor,550,173,173,Content_173,2010-09-29,103,series,1.7
203,user_203,user203@example.com,hash_password_203,2021-02-15,India,Genre_2,content_creator,Recomendeitor_Plus,203,49,49,Content_49,2020-10-19,81,short,3.1
736,user_736,user736@example.com,hash_password_736,2020-03-03,Italy,Genre_7,admin,Recomendeitor,736,123,123,Content_123,2014-12-19,88,short,2.1
347,user_347,user347@example.com,hash_password_347,2022-06-25,UK,Genre_3,consumer,Recomendeitor,347,35,35,Content_35,2014-08-02,136,movie,1.8
990,user_990,user990@example.com,hash_password_990,2020-11-03,Japan,Genre_6,consumer,Recomendeitor,990,106,106,Content_106,2014-01-26,161,movie,1.7
52,user_52,user52@example.com,hash_password_52,2020-07-12,USA,Genre_2,admin,Recomendeitor_Plus,52,72,72,Content_72,2015-05-09,48,short,4.3
593,user_593,user593@example.com,hash_password_593,2021-12-08,UK,Genre_7,admin,Recomendeitor,593,160,160,Content_160,2019-05-23,69,movie,1.0
356,user_356,user356@example.com,hash_password_356,2021-02-16,Spain,Genre_3,admin,Recomendeitor_Plus,356,196,196,Content_196,2012-06-14,146,series,2.4
723,user_723,user723@example.com,hash_password_723,2021-03-08,USA,Genre_6,consumer,Recomendeitor,723,109,109,Content_109,2015-04-15,39,series,4.2
519,user_519,user519@example.com,hash_password_519,2022-03-18,UK,Genre_4,consumer,Recomendeitor,519,125,125,Content_125,2022-01-01,163,movie,2.2
363,user_363,user363@example.com,hash_password_363,2021-05-06,Spain,Genre_7,admin,Recomendeitor_Plus,363,71,71,Content_71,2011-07-02,43,live,4.2
45,user_45,user45@example.com,hash_password_45,2021-07-11,Japan,Genre_4,admin,Recomendeitor,45,39,39,Content_39,2022-11-13,113,short,1.9
827,user_827,user827@example.com,hash_password_827,2020-10-09,Canada,Genre_3,admin,Recomendeitor,827,176,176,Content_176,2018-01-17,149,short,2.6
378,user_378,user378@example.com,hash_password_378,2021-01-14,Canada,Genre_7,moderator,Recomendeitor,378,91,91,Content_91,2017-07-09,40,series,2.2
789,user_789,user789@example.com,hash_password_789,2022-10-02,Italy,Genre_8,admin,Recomendeitor_Plus,789,37,37,Content_37,2010-09-07,173,movie,1.4
412,user_412,user412@example.com,hash_password_412,2021-01-25,India,Genre_5,admin,Recomendeitor,412,188,188,Content_188,2015-08-25,114,live,4.3
771,user_771,user771@example.com,hash_password_771,2022-12-08,Japan,Genre_9,consumer,Recomendeitor_Plus,771,81,81,Content_81,2017-11-10,74,documentary,2.7
142,user_142,user142@example.com,hash_password_142,2020-04-08,Italy,,consumer,Recomendeitor,142,132,132,Content_132,2019-05-19,17,short,4.7
258,user_258,user258@example.com,hash_password_258,2021-07-04,UK,Genre_6,admin,Recomendeitor_Plus,258,23,23,Content_23,2022-07-01,76,series,2.6
797,user_797,user797@example.com,hash_password_797,2022-09-14,France,Genre_10,moderator,Recomendeitor,797,142,142,Content_142,2017-01-22,74,live,4.2
914,user_914,user914@example.com,hash_password_914,2021-03-17,Brazil,Genre_8,moderator,Recomendeitor_Plus,914,5,5,Content_5,2019-09-07,73,movie,3.5
37,user_37,user37@example.com,hash_password_37,2021-03-07,India,Genre_9,moderator,Recomendeitor_Plus,37,194,194,Content_194,2010-04-06,139,documentary,2.2
941,user_941,user941@example.com,hash_password_941,2022-07-30,Canada,Genre_4,consumer,Recomendeitor_Plus,941,110,110,Content_110,2019-05-16,13,documentary,4.9
45,user_45,user45@example.com,hash_password_45,2021-07-11,Japan,Genre_4,admin,Recomendeitor,45,152,152,Content_152,2021-03-24,150,movie,3.0
920,user_920,user920@example.com,hash_password_920,2020-03-20,France,Genre_1,consumer,Recomendeitor,920,18,18,Content_18,2017-06-13,35,documentary,4.7
632,user_632,user632@example.com,hash_password_632,2020-09-04,France,Genre_7,admin,Recomendeitor_Plus,632,27,27,Content_27,2010-06-10,46,series,3.3
46,user_46,user46@example.com,hash_password_46,2021-06-18,France,Genre_9,consumer,Recomendeitor,46,24,24,Content_24,2015-06-26,74,live,4.0
652,user_652,user652@example.com,hash_password_652,2020-05-05,Canada,Genre_8,admin,Recomendeitor_Plus,652,29,29,Content_29,2013-11-23,152,live,4.2
565,user_565,user565@example.com,hash_password_565,2021-11-17,Italy,Genre_6,consumer,Recomendeitor,565,139,139,Content_139,2012-04-28,165,live,3.9
301,user_301,user301@example.com,hash_password_301,2020-01-04,France,Genre_5,content_creator,Recomendeitor_Plus,301,146,146,Content_146,2010-01-16,164,documentary,4.9
288,user_288,user288@example.com,hash_password_288,2022-04-19,France,,content_creator,Recomendeitor,288,123,123,Content_123,2014-12-19,88,short,2.1
786,user_786,user786@example.com,hash_password_786,2021-07-29,UK,Genre_6,moderator,Recomendeitor_Plus,786,128,128,Content_128,2018-03-18,47,movie,1.4
269,user_269,user269@example.com,hash_password_269,2021-06-11,USA,Genre_4,content_creator,Recomendeitor_Plus,269,112,112,Content_112,2019-05-25,17,documentary,2.6
900,user_900,user900@example.com,hash_password_900,2022-04-09,Italy,Genre_5,moderator,Recomendeitor,900,117,117,Content_117,2017-11-07,91,short,3.8
791,user_791,user791@example.com,hash_password_791,2020-01-20,Japan,Genre_1,consumer,Recomendeitor,791,132,132,Content_132,2019-05-19,17,short,4.7
62,user_62,user62@example.com,hash_password_62,2022-12-30,Spain,Genre_8,moderator,Recomendeitor_Plus,62,33,33,Content_33,2010-05-09,142,series,3.6
566,user_566,user566@example.com,hash_password_566,2021-11-17,Japan,Genre_1,admin,Recomendeitor_Plus,566,42,42,Content_42,2018-10-30,43,movie,1.7
970,user_970,user970@example.com,hash_password_970,2020-01-05,France,Genre_3,content_creator,Recomendeitor,970,160,160,Content_160,2019-05-23,69,movie,1.0
951,user_951,user951@example.com,hash_password_951,2021-10-28,Italy,Genre_1,moderator,Recomendeitor,951,179,179,Content_179,2016-07-27,154,documentary,1.6
581,user_581,user581@example.com,hash_password_581,2020-12-30,India,Genre_3,consumer,Recomendeitor,581,125,125,Content_125,2022-01-01,163,movie,2.2
242,user_242,user242@example.com,hash_password_242,2022-11-05,UK,Genre_1,admin,Recomendeitor,242,4,4,Content_4,2022-09-28,51,series,1.9
936,user_936,user936@example.com,hash_password_936,2020-05-12,USA,Genre_9,moderator,Recomendeitor_Plus,936,20,20,Content_20,2020-03-05,80,live,1.2
782,user_782,user782@example.com,hash_password_782,2021-06-23,Brazil,Genre_10,moderator,Recomendeitor,782,195,195,Content_195,2022-04-17,25,short,2.2
764,user_764,user764@example.com,hash_password_764,2022-06-13,India,Genre_5,admin,Recomendeitor,764,68,68,Content_68,2019-05-12,22,documentary,4.8
354,user_354,user354@example.com,hash_password_354,2021-05-03,India,Genre_3,consumer,Recomendeitor_Plus,354,190,190,Content_190,2017-06-28,22,short,1.0
796,user_796,user796@example.com,hash_password_796,2021-07-16,Italy,Genre_7,content_creator,Recomendeitor_Plus,796,58,58,Content_58,2011-10-12,25,movie,2.9
968,user_968,user968@example.com,hash_password_968,2020-04-26,Canada,Genre_10,content_creator,Recomendeitor,968,175,175,Content_175,2022-09-02,93,short,3.2
976,user_976,user976@example.com,hash_password_976,2021-03-28,Brazil,Genre_5,consumer,Recomendeitor,976,80,80,Content_80,2019-03-26,48,short,2.1
863,user_863,user863@example.com,hash_password_863,2022-01-05,Japan,Genre_5,content_creator,Recomendeitor_Plus,863,187,187,Content_187,2020-01-16,155,series,3.3
71,user_71,user71@example.com,hash_password_71,2021-08-13,Brazil,,consumer,Recomendeitor_Plus,71,134,134,Content_134,2016-07-11,143,documentary,3.8
835,user_835,user835@example.com,hash_password_835,2022-12-25,France,Genre_8,moderator,Recomendeitor,835,95,95,Content_95,2014-07-18,83,live,3.9
413,user_413,user413@example.com,hash_password_413,2020-03-19,France,Genre_5,admin,Recomendeitor_Plus,413,168,168,Content_168,2014-01-23,33,documentary,4.9
612,user_612,user612@example.com,hash_password_612,2022-03-15,Brazil,Genre_3,consumer,Recomendeitor_Plus,612,151,151,Content_151,2019-11-13,60,short,4.8
61,user_61,user61@example.com,hash_password_61,2020-10-25,Germany,Genre_6,content_creator,Recomendeitor_Plus,61,180,180,Content_180,2021-04-17,110,live,2.2
615,user_615,user615@example.com,hash_password_615,2022-05-15,Japan,Genre_10,content_creator,Recomendeitor_Plus,615,4,4,Content_4,2022-09-28,51,series,1.9
452,user_452,user452@example.com,hash_password_452,2021-07-03,UK,,content_creator,Recomendeitor,452,165,165,Content_165,2015-06-23,22,series,3.8
393,user_393,user393@example.com,hash_password_393,2022-10-27,USA,Genre_5,moderator,Recomendeitor,393,170,170,Content_170,2016-07-07,20,movie,3.0
631,user_631,user631@example.com,hash_password_631,2021-11-23,UK,Genre_4,admin,Recomendeitor_Plus,631,44,44,Content_44,2017-07-10,13,series,2.1
529,user_529,user529@example.com,hash_password_529,2022-08-26,Japan,Genre_10,moderator,Recomendeitor_Plus,529,125,125,Content_125,2022-01-01,163,movie,2.2
305,user_305,user305@example.com,hash_password_305,2021-03-19,UK,Genre_1,admin,Recomendeitor_Plus,305,42,42,Content_42,2018-10-30,43,movie,1.7
191,user_191,user191@example.com,hash_password_191,2022-05-31,Germany,Genre_9,moderator,Recomendeitor_Plus,191,29,29,Content_29,2013-11-23,152,live,4.2
724,user_724,user724@example.com,hash_password_724,2021-10-16,Japan,Genre_10,content_creator,Recomendeitor,724,147,147,Content_147,2014-10-24,171,live,4.4
78,user_78,user78@example.com,hash_password_78,2021-07-05,India,Genre_1,consumer,Recomendeitor,78,160,160,Content_160,2019-05-23,69,movie,1.0
558,user_558,user558@example.com,hash_password_558,2020-11-22,Italy,Genre_2,moderator,Recomendeitor_Plus,558,44,44,Content_44,2017-07-10,13,series,2.1
605,user_605,user605@example.com,hash_password_605,2022-12-04,Italy,Genre_5,consumer,Recomendeitor,605,55,55,Content_55,2015-09-03,92,live,4.6
889,user_889,user889@example.com,hash_password_889,2022-03-25,Canada,Genre_4,moderator,Recomendeitor,889,80,80,Content_80,2019-03-26,48,short,2.1
525,user_525,user525@example.com,hash_password_525,2021-10-31,Italy,Genre_10,admin,Recomendeitor,525,133,133,Content_133,2012-06-17,178,movie,4.3
740,user_740,user740@example.com,hash_password_740,2020-02-01,Brazil,Genre_5,moderator,Recomendeitor_Plus,740,113,113,Content_113,2016-12-10,21,documentary,3.4
301,user_301,user301@example.com,hash_password_301,2020-01-04,France,Genre_5,content_creator,Recomendeitor_Plus,301,174,174,Content_174,2015-06-01,30,series,4.2
949,user_949,user949@example.com,hash_password_949,2021-04-06,Spain,Genre_3,admin,Recomendeitor,949,173,173,Content_173,2010-09-29,103,series,1.7
17,user_17,user17@example.com,hash_password_17,2020-12-05,Canada,Genre_9,moderator,Recomendeitor_Plus,17,21,21,Content_21,2010-09-05,39,movie,4.0
815,user_815,user815@example.com,hash_password_815,2021-03-09,Spain,Genre_9,moderator,Recomendeitor,815,78,78,Content_78,2010-01-08,127,live,4.5
574,user_574,user574@example.com,hash_password_574,2021-03-16,Brazil,,moderator,Recomendeitor_Plus,574,150,150,Content_150,2019-12-27,152,documentary,3.2
434,user_434,user434@example.com,hash_password_434,2022-04-27,UK,Genre_9,moderator,Recomendeitor_Plus,434,30,30,Content_30,2021-06-21,46,series,2.0
43,user_43,user43@example.com,hash_password_43,2021-08-13,Japan,Genre_9,moderator,Recomendeitor,43,23,23,Content_23,2022-07-01,76,series,2.6
68,user_68,user68@example.com,hash_password_68,2020-05-03,Brazil,Genre_8,consumer,Recomendeitor,68,5,5,Content_5,2019-09-07,73,movie,3.5
380,user_380,user380@example.com,hash_password_380,2021-03-18,UK,Genre_3,content_creator,Recomendeitor_Plus,380,63,63,Content_63,2018-06-06,171,movie,2.3
212,user_212,user212@example.com,hash_password_212,2021-09-11,Germany,Genre_9,consumer,Recomendeitor,212,59,59,Content_59,2012-09-26,75,series,3.0
203,user_203,user203@example.com,hash_password_203,2021-02-15,India,Genre_2,content_creator,Recomendeitor_Plus,203,82,82,Content_82,2017-01-11,154,live,1.2
