id,username,email,password,date_of_registration,country,preferences,user_type,recommendation_system,id,user_id,content_id,view_date,duration_viewed,recommendation_system,id,title,release_date,duration,content_type,rating
596,user_596,user596@example.com,hash_password_596,2022-06-13,India,Genre_2,admin,Recomendeitor,32,596,134,2021-08-12,139,Recomendeitor_Plus,134,Content_134,2016-07-11,143,documentary,3.8
595,user_595,user595@example.com,hash_password_595,2022-09-05,Germany,Genre_4,moderator,Recomendeitor_Plus,33,595,81,2021-06-26,36,Recomendeitor,81,Content_81,2017-11-10,74,documentary,2.7
803,user_803,user803@example.com,hash_password_803,2022-10-07,Spain,Genre_9,admin,Recomendeitor_Plus,34,803,69,2022-08-04,52,Recomendeitor_Plus,69,Content_69,2010-08-17,120,live,3.0
964,user_964,user964@example.com,hash_password_964,2020-08-31,Italy,Genre_1,moderator,Recomendeitor,35,964,69,2021-03-12,31,Recomendeitor,69,Content_69,2010-08-17,120,live,3.0
69,user_69,user69@example.com,hash_password_69,2020-12-27,Italy,Genre_1,content_creator,Recomendeitor_Plus,36,69,148,2021-12-04,33,Recomendeitor,148,Content_148,2022-05-09,109,short,3.8
129,user_129,user129@example.com,hash_password_129,2020-12-06,Italy,,content_creator,Recomendeitor_Plus,37,129,192,2021-03-18,141,Recomendeitor,192,Content_192,2018-12-13,109,documentary,1.2
196,user_196,user196@example.com,hash_password_196,2022-04-07,Brazil,Genre_9,admin,Recomendeitor_Plus,38,196,16,2022-08-14,146,Recomendeitor,16,Content_16,2019-03-10,123,live,2.2
140,user_140,user140@example.com,hash_password_140,2021-10-17,Germany,Genre_8,consumer,Recomendeitor,39,140,51,2022-05-08,169,Recomendeitor,51,Content_51,2011-07-21,151,short,2.1
444,user_444,user444@example.com,hash_password_444,2021-07-20,Germany,Genre_6,moderator,Recomendeitor_Plus,40,444,105,2022-07-01,58,Recomendeitor_Plus,105,Content_105,2020-05-11,62,series,4.3
283,user_283,user283@example.com,hash_password_283,2021-11-19,Spain,Genre_9,admin,Recomendeitor,41,283,165,2022-11-09,152,Recomendeitor,165,Content_165,2015-06-23,22,series,3.8
312,user_312,user312@example.com,hash_password_312,2020-10-21,Canada,Genre_8,moderator,Recomendeitor,42,312,197,2021-03-20,128,Recomendeitor,197,Content_197,2016-12-22,82,live,3.5
746,user_746,user746@example.com,hash_password_746,2022-11-05,Canada,Genre_3,admin,Recomendeitor_Plus,43,746,170,2021-12-11,31,Recomendeitor,170,Content_170,2016-07-07,20,movie,3.0
535,user_535,user535@example.com,hash_password_535,2021-04-25,Italy,Genre_4,admin,Recomendeitor,44,535,185,2021-05-10,55,Recomendeitor,185,Content_185,2012-02-24,108,live,2.0
665,user_665,user665@example.com,hash_password_665,2021-12-24,Italy,Genre_9,admin,Recomendeitor_Plus,45,665,66,2022-06-24,10,Recomendeitor,66,Content_66,2016-10-24,111,movie,1.3
277,user_277,user277@example.com,hash_password_277,2021-10-17,USA,Genre_2,moderator,Recomendeitor,46,277,9,2021-08-21,130,Recomendeitor,9,Content_9,2017-12-22,161,short,3.9
61,user_61,user61@example.com,hash_password_61,2020-10-25,Germany,Genre_6,content_creator,Recomendeitor_Plus,47,61,107,2022-12-03,15,Recomendeitor,107,Content_107,2022-01-28,88,series,2.5
319,user_319,user319@example.com,hash_password_319,2021-05-02,Brazil,Genre_8,content_creator,Recomendeitor_Plus,48,319,100,2021-01-23,3,Recomendeitor_Plus,100,Content_100,2021-11-17,169,movie,4.4
890,user_890,user890@example.com,hash_password_890,2022-07-16,Brazil,Genre_2,moderator,Recomendeitor_Plus,49,890,86,2021-02-05,43,Recomendeitor_Plus,86,Content_86,2016-02-27,156,series,2.7
52,user_52,user52@example.com,hash_password_52,2020-07-12,USA,Genre_2,admin,Recomendeitor_Plus,50,52,64,2021-09-09,159,Recomendeitor_Plus,64,Content_64,2014-11-26,133,series,4.4
856,user_856,user856@example.com,hash_password_856,2021-09-20,USA,Genre_5,consumer,Recomendeitor,51,856,22,2022-09-11,67,Recomendeitor_Plus,22,Content_22,2017-05-08,144,movie,2.5
153,user_153,user153@example.com,hash_password_153,2022-11-25,Spain,Genre_1,content_creator,Recomendeitor_Plus,52,153,162,2021-02-13,56,Recomendeitor,162,Content_162,2019-03-31,147,documentary,4.9
749,user_749,user749@example.com,hash_password_749,2020-12-04,UK,Genre_8,moderator,Recomendeitor_Plus,53,749,183,2021-08-16,63,Recomendeitor_Plus,183,Content_183,2018-06-05,37,documentary,3.7
311,user_311,user311@example.com,hash_password_311,2020-08-28,UK,Genre_3,admin,Recomendeitor_Plus,54,311,157,2021-10-06,15,Recomendeitor,157,Content_157,2018-03-29,154,documentary,2.5
814,user_814,user814@example.com,hash_password_814,2020-05-14,Germany,Genre_9,consumer,Recomendeitor_Plus,55,814,166,2021-10-19,109,Recomendeitor_Plus,166,Content_166,2013-03-18,110,movie,4.3
544,user_544,user544@example.com,hash_password_544,2020-10-25,Japan,Genre_2,consumer,Recomendeitor_Plus,56,544,110,2021-12-01,116,Recomendeitor_Plus,110,Content_110,2019-05-16,13,documentary,4.9
567,user_567,user567@example.com,hash_password_567,2022-11-15,Japan,Genre_6,content_creator,Recomendeitor_Plus,57,567,97,2021-04-24,92,Recomendeitor,97,Content_97,2012-03-25,63,series,1.9
864,user_864,user864@example.com,hash_password_864,2022-05-09,UK,Genre_5,moderator,Recomendeitor,58,864,18,2021-07-09,138,Recomendeitor,18,Content_18,2017-06-13,35,documentary,4.7
389,user_389,user389@example.com,hash_password_389,2020-01-13,France,Genre_10,content_creator,Recomendeitor,59,389,71,2022-02-17,166,Recomendeitor_Plus,71,Content_71,2011-07-02,43,live,4.2
548,user_548,user548@example.com,hash_password_548,2022-11-18,Canada,Genre_3,moderator,Recomendeitor,60,548,193,2021-11-17,47,Recomendeitor_Plus,193,Content_193,2017-10-10,40,movie,3.2
622,user_622,user622@example.com,hash_password_622,2022-04-05,Spain,Genre_2,moderator,Recomendeitor_Plus,61,622,127,2022-03-16,57,Recomendeitor_Plus,127,Content_127,2017-01-25,105,series,4.0
177,user_177,user177@example.com,hash_password_177,2020-09-07,USA,Genre_3,consumer,Recomendeitor,62,177,97,2022-06-14,50,Recomendeitor_Plus,97,Content_97,2012-03-25,63,series,1.9
362,user_362,user362@example.com,hash_password_362,2021-12-11,Japan,Genre_7,admin,Recomendeitor,63,362,1,2022-09-08,71,Recomendeitor,1,Content_1,2012-10-28,76,live,1.0
314,user_314,user314@example.com,hash_password_314,2020-12-04,Japan,Genre_1,content_creator,Recomendeitor,64,314,132,2021-05-20,143,Recomendeitor_Plus,132,Content_132,2019-05-19,17,short,4.7
807,user_807,user807@example.com,hash_password_807,2022-01-21,Germany,Genre_9,content_creator,Recomendeitor,65,807,4,2021-05-13,146,Recomendeitor_Plus,4,Content_4,2022-09-28,51,series,1.9
848,user_848,user848@example.com,hash_password_848,2022-01-09,Germany,Genre_8,content_creator,Recomendeitor,66,848,125,2021-05-16,82,Recomendeitor_Plus,125,Content_125,2022-01-01,163,movie,2.2
97,user_97,user97@example.com,hash_password_97,2022-05-15,India,Genre_2,content_creator,Recomendeitor,67,97,82,2021-03-03,116,Recomendeitor_Plus,82,Content_82,2017-01-11,154,live,1.2
881,user_881,user881@example.com,hash_password_881,2022-04-12,USA,Genre_7,admin,Recomendeitor,68,881,27,2022-04-19,105,Recomendeitor_Plus,27,Content_27,2010-06-10,46,series,3.3
213,user_213,user213@example.com,hash_password_213,2022-11-09,Italy,Genre_6,moderator,Recomendeitor,69,213,171,2022-11-08,88,Recomendeitor,171,Content_171,2013-12-22,26,series,3.9
829,user_829,user829@example.com,hash_password_829,2020-11-25,Spain,Genre_10,content_creator,Recomendeitor,70,829,59,2021-10-25,2,Recomendeitor,59,Content_59,2012-09-26,75,series,3.0
137,user_137,user137@example.com,hash_password_137,2022-09-01,India,Genre_8,moderator,Recomendeitor_Plus,71,137,32,2022-04-27,104,Recomendeitor,32,Content_32,2019-12-28,145,short,2.4
6,user_6,user6@example.com,hash_password_6,2020-12-12,Japan,Genre_5,consumer,Recomendeitor_Plus,72,6,161,2022-06-15,84,Recomendeitor,161,Content_161,2022-12-24,129,short,3.8
109,user_109,user109@example.com,hash_password_109,2022-05-31,Spain,Genre_8,content_creator,Recomendeitor,73,109,28,2021-07-07,43,Recomendeitor,28,Content_28,2011-07-22,10,live,2.4
547,user_547,user547@example.com,hash_password_547,2021-08-11,Japan,Genre_6,consumer,Recomendeitor_Plus,74,547,106,2022-01-22,154,Recomendeitor_Plus,106,Content_106,2014-01-26,161,movie,1.7
39,user_39,user39@example.com,hash_password_39,2020-11-30,Canada,Genre_4,content_creator,Recomendeitor_Plus,75,39,105,2022-12-11,71,Recomendeitor,105,Content_105,2020-05-11,62,series,4.3
662,user_662,user662@example.com,hash_password_662,2021-09-25,Spain,Genre_9,consumer,Recomendeitor_Plus,76,662,183,2022-03-29,166,Recomendeitor,183,Content_183,2018-06-05,37,documentary,3.7
425,user_425,user425@example.com,hash_password_425,2021-11-17,Japan,,admin,Recomendeitor_Plus,77,425,188,2021-04-22,94,Recomendeitor_Plus,188,Content_188,2015-08-25,114,live,4.3
630,user_630,user630@example.com,hash_password_630,2022-05-01,Canada,Genre_2,admin,Recomendeitor_Plus,78,630,70,2021-06-30,42,Recomendeitor,70,Content_70,2017-09-27,168,short,2.6
261,user_261,user261@example.com,hash_password_261,2021-12-26,Canada,Genre_8,content_creator,Recomendeitor,79,261,62,2021-12-25,133,Recomendeitor,62,Content_62,2021-10-20,128,movie,1.7
426,user_426,user426@example.com,hash_password_426,2022-05-07,Japan,Genre_8,admin,Recomendeitor,80,426,34,2022-05-11,139,Recomendeitor,34,Content_34,2021-06-09,137,documentary,2.0
87,user_87,user87@example.com,hash_password_87,2022-09-13,UK,Genre_7,consumer,Recomendeitor_Plus,81,87,87,2021-07-17,65,Recomendeitor,87,Content_87,2020-08-04,62,short,3.1
465,user_465,user465@example.com,hash_password_465,2022-11-06,Japan,Genre_4,consumer,Recomendeitor,82,465,114,2021-12-23,34,Recomendeitor_Plus,114,Content_114,2011-08-03,128,live,3.6
76,user_76,user76@example.com,hash_password_76,2020-09-09,Japan,Genre_1,admin,Recomendeitor_Plus,83,76,106,2021-07-18,120,Recomendeitor_Plus,106,Content_106,2014-01-26,161,movie,1.7
471,user_471,user471@example.com,hash_password_471,2021-08-17,Italy,Genre_3,consumer,Recomendeitor_Plus,84,471,56,2022-06-02,1,Recomendeitor,56,Content_56,2015-06-18,132,series,2.7
976,user_976,user976@example.com,hash_password_976,2021-03-28,Brazil,Genre_5,consumer,Recomendeitor,85,976,113,2021-01-08,130,Recomendeitor_Plus,113,Content_113,2016-12-10,21,documentary,3.4
963,user_963,user963@example.com,hash_password_963,2020-05-06,France,Genre_1,admin,Recomendeitor,86,963,13,2022-11-30,148,Recomendeitor,13,Content_13,2016-11-06,56,short,2.9
414,user_414,user414@example.com,hash_password_414,2020-05-23,USA,,consumer,Recomendeitor_Plus,87,414,184,2022-09-17,61,Recomendeitor_Plus,184,Content_184,2010-08-19,50,documentary,4.2
825,user_825,user825@example.com,hash_password_825,2022-02-06,Germany,,moderator,Recomendeitor_Plus,88,825,18,2021-12-28,149,Recomendeitor_Plus,18,Content_18,2017-06-13,35,documentary,4.7
895,user_895,user895@example.com,hash_password_895,2020-12-19,India,Genre_5,consumer,Recomendeitor,89,895,182,2022-12-01,88,Recomendeitor_Plus,182,Content_182,2012-08-03,112,movie,4.5
726,user_726,user726@example.com,hash_password_726,2020-05-07,Germany,Genre_9,admin,Recomendeitor_Plus,90,726,113,2021-08-12,68,Recomendeitor_Plus,113,Content_113,2016-12-10,21,documentary,3.4
457,user_457,user457@example.com,hash_password_457,2021-01-02,Canada,Genre_1,moderator,Recomendeitor_Plus,91,457,171,2022-06-11,127,Recomendeitor_Plus,171,Content_171,2013-12-22,26,series,3.9
285,user_285,user285@example.com,hash_password_285,2020-06-01,Spain,Genre_1,moderator,Recomendeitor_Plus,92,285,39,2022-03-01,140,Recomendeitor_Plus,39,Content_39,2022-11-13,113,short,1.9
239,user_239,user239@example.com,hash_password_239,2022-03-09,India,Genre_2,consumer,Recomendeitor,93,239,189,2021-05-03,22,Recomendeitor_Plus,189,Content_189,2011-09-16,133,series,4.6
677,user_677,user677@example.com,hash_password_677,2020-01-10,Germany,Genre_1,consumer,Recomendeitor_Plus,94,677,170,2021-02-27,148,Recomendeitor_Plus,170,Content_170,2016-07-07,20,movie,3.0
599,user_599,user599@example.com,hash_password_599,2021-08-19,USA,,consumer,Recomendeitor_Plus,95,599,79,2021-12-10,82,Recomendeitor_Plus,79,Content_79,2021-03-10,62,documentary,3.2
653,user_653,user653@example.com,hash_password_653,2020-08-02,India,Genre_8,content_creator,Recomendeitor,96,653,146,2021-09-26,129,Recomendeitor_Plus,146,Content_146,2010-01-16,164,documentary,4.9
672,user_672,user672@example.com,hash_password_672,2022-12-16,USA,Genre_1,moderator,Recomendeitor_Plus,97,672,151,2022-04-02,30,Recomendeitor_Plus,151,Content_151,2019-11-13,60,short,4.8
558,user_558,user558@example.com,hash_password_558,2020-11-22,Italy,Genre_2,moderator,Recomendeitor_Plus,98,558,182,2021-08-21,126,Recomendeitor,182,Content_182,2012-08-03,112,movie,4.5
372,user_372,user372@example.com,hash_password_372,2020-11-27,Spain,Genre_2,consumer,Recomendeitor_Plus,99,372,30,2022-05-12,97,Recomendeitor_Plus,30,Content_30,2021-06-21,46,series,2.0
495,user_495,user495@example.com,hash_password_495,2021-05-29,France,Genre_1,admin,Recomendeitor_Plus,100,495,98,2021-11-26,24,Recomendeitor,98,Content_98,2014-11-25,61,documentary,3.7
624,user_624,user624@example.com,hash_password_624,2022-07-14,India,Genre_8,content_creator,Recomendeitor,101,624,58,2022-06-21,14,Recomendeitor_Plus,58,Content_58,2011-10-12,25,movie,2.9
919,user_919,user919@example.com,hash_password_919,2020-10-13,France,Genre_4,moderator,Recomendeitor_Plus,102,919,196,2021-07-14,36,Recomendeitor,196,Content_196,2012-06-14,146,series,2.4
45,user_45,user45@example.com,hash_password_45,2021-07-11,Japan,Genre_4,admin,Recomendeitor,103,45,67,2021-12-21,24,Recomendeitor,67,Content_67,2022-12-09,75,short,1.3
401,user_401,user401@example.com,hash_password_401,2021-02-27,France,Genre_5,moderator,Recomendeitor_Plus,104,401,71,2022-10-19,95,Recomendeitor,71,Content_71,2011-07-02,43,live,4.2
247,user_247,user247@example.com,hash_password_247,2022-06-06,USA,Genre_10,consumer,Recomendeitor,105,247,146,2021-08-23,55,Recomendeitor_Plus,146,Content_146,2010-01-16,164,documentary,4.9
616,user_616,user616@example.com,hash_password_616,2021-01-22,Brazil,Genre_6,moderator,Recomendeitor,106,616,106,2021-06-04,24,Recomendeitor_Plus,106,Content_106,2014-01-26,161,movie,1.7
597,user_597,user597@example.com,hash_password_597,2020-10-29,Canada,Genre_4,admin,Recomendeitor,107,597,7,2021-10-26,152,Recomendeitor_Plus,7,Content_7,2017-06-21,30,series,2.3
450,user_450,user450@example.com,hash_password_450,2022-11-02,UK,Genre_10,moderator,Recomendeitor_Plus,108,450,40,2022-10-25,26,Recomendeitor_Plus,40,Content_40,2012-12-24,32,live,1.2
485,user_485,user485@example.com,hash_password_485,2021-05-24,Brazil,Genre_8,admin,Recomendeitor,109,485,70,2022-01-11,80,Recomendeitor,70,Content_70,2017-09-27,168,short,2.6
646,user_646,user646@example.com,hash_password_646,2021-03-19,France,Genre_9,content_creator,Recomendeitor_Plus,110,646,193,2021-03-24,166,Recomendeitor_Plus,193,Content_193,2017-10-10,40,movie,3.2
620,user_620,user620@example.com,hash_password_620,2021-12-22,India,Genre_9,admin,Recomendeitor_Plus,111,620,68,2021-07-04,65,Recomendeitor_Plus,68,Content_68,2019-05-12,22,documentary,4.8
18,user_18,user18@example.com,hash_password_18,2020-12-27,Brazil,Genre_6,consumer,Recomendeitor,112,18,49,2021-10-24,75,Recomendeitor_Plus,49,Content_49,2020-10-19,81,short,3.1
606,user_606,user606@example.com,hash_password_606,2020-01-09,India,,admin,Recomendeitor,113,606,52,2022-03-21,179,Recomendeitor_Plus,52,Content_52,2017-12-30,43,series,2.4
662,user_662,user662@example.com,hash_password_662,2021-09-25,Spain,Genre_9,consumer,Recomendeitor_Plus,114,662,114,2021-10-06,163,Recomendeitor_Plus,114,Content_114,2011-08-03,128,live,3.6
758,user_758,user758@example.com,hash_password_758,2020-09-11,France,Genre_7,content_creator,Recomendeitor_Plus,115,758,107,2022-03-23,43,Recomendeitor_Plus,107,Content_107,2022-01-28,88,series,2.5
289,user_289,user289@example.com,hash_password_289,2020-01-23,USA,Genre_8,moderator,Recomendeitor,116,289,29,2021-08-18,29,Recomendeitor_Plus,29,Content_29,2013-11-23,152,live,4.2
414,user_414,user414@example.com,hash_password_414,2020-05-23,USA,,consumer,Recomendeitor_Plus,117,414,149,2022-06-28,165,Recomendeitor_Plus,149,Content_149,2015-01-30,91,live,3.9
721,user_721,user721@example.com,hash_password_721,2021-06-08,Japan,Genre_6,moderator,Recomendeitor_Plus,118,721,78,2021-08-18,81,Recomendeitor,78,Content_78,2010-01-08,127,live,4.5
638,user_638,user638@example.com,hash_password_638,2021-03-06,France,Genre_4,consumer,Recomendeitor,119,638,9,2021-01-18,54,Recomendeitor,9,Content_9,2017-12-22,161,short,3.9
235,user_235,user235@example.com,hash_password_235,2020-04-14,France,Genre_1,admin,Recomendeitor_Plus,120,235,175,2022-10-07,39,Recomendeitor_Plus,175,Content_175,2022-09-02,93,short,3.2
416,user_416,user416@example.com,hash_password_416,2021-10-20,France,Genre_7,admin,Recomendeitor_Plus,121,416,76,2022-05-27,42,Recomendeitor_Plus,76,Content_76,2016-11-16,64,movie,3.6
938,user_938,user938@example.com,hash_password_938,2020-07-03,USA,Genre_4,moderator,Recomendeitor_Plus,122,938,42,2021-11-04,156,Recomendeitor_Plus,42,Content_42,2018-10-30,43,movie,1.7
499,user_499,user499@example.com,hash_password_499,2020-10-04,India,Genre_10,consumer,Recomendeitor_Plus,123,499,179,2021-08-02,29,Recomendeitor_Plus,179,Content_179,2016-07-27,154,documentary,1.6
974,user_974,user974@example.com,hash_password_974,2022-07-11,Spain,Genre_9,moderator,Recomendeitor_Plus,124,974,184,2021-01-07,171,Recomendeitor,184,Content_184,2010-08-19,50,documentary,4.2
634,user_634,user634@example.com,hash_password_634,2021-11-30,Canada,Genre_5,content_creator,Recomendeitor,125,634,179,2022-03-16,131,Recomendeitor,179,Content_179,2016-07-27,154,documentary,1.6
650,user_650,user650@example.com,hash_password_650,2021-05-11,USA,Genre_5,content_creator,Recomendeitor,126,650,198,2022-11-03,138,Recomendeitor_Plus,198,Content_198,2021-02-20,175,short,2.3
115,user_115,user115@example.com,hash_password_115,2022-09-25,USA,Genre_3,admin,Recomendeitor,127,115,128,2022-06-17,142,Recomendeitor,128,Content_128,2018-03-18,47,movie,1.4
932,user_932,user932@example.com,hash_password_932,2020-08-23,UK,Genre_9,content_creator,Recomendeitor_Plus,128,932,20,2022-08-28,175,Recomendeitor,20,Content_20,2020-03-05,80,live,1.2
674,user_674,user674@example.com,hash_password_674,2022-06-13,India,Genre_6,consumer,Recomendeitor,129,674,155,2022-08-02,42,Recomendeitor_Plus,155,Content_155,2017-08-06,65,live,4.1
713,user_713,user713@example.com,hash_password_713,2020-10-09,USA,Genre_8,moderator,Recomendeitor,130,713,166,2021-02-08,94,Recomendeitor_Plus,166,Content_166,2013-03-18,110,movie,4.3
234,user_234,user234@example.com,hash_password_234,2020-12-21,USA,Genre_10,moderator,Recomendeitor_Plus,131,234,72,2022-12-09,160,Recomendeitor_Plus,72,Content_72,2015-05-09,48,short,4.3
540,user_540,user540@example.com,hash_password_540,2022-12-19,USA,Genre_1,moderator,Recomendeitor,132,540,65,2022-04-17,32,Recomendeitor,65,Content_65,2021-04-10,153,short,1.8
11,user_11,user11@example.com,hash_password_11,2020-05-15,Germany,Genre_1,consumer,Recomendeitor_Plus,133,11,182,2022-08-02,170,Recomendeitor,182,Content_182,2012-08-03,112,movie,4.5
206,user_206,user206@example.com,hash_password_206,2021-10-19,Germany,,content_creator,Recomendeitor,134,206,113,2022-01-21,160,Recomendeitor_Plus,113,Content_113,2016-12-10,21,documentary,3.4
679,user_679,user679@example.com,hash_password_679,2021-04-08,USA,Genre_8,admin,Recomendeitor_Plus,135,679,24,2022-10-09,26,Recomendeitor_Plus,24,Content_24,2015-06-26,74,live,4.0
247,user_247,user247@example.com,hash_password_247,2022-06-06,USA,Genre_10,consumer,Recomendeitor,136,247,128,2022-12-04,115,Recomendeitor,128,Content_128,2018-03-18,47,movie,1.4
559,user_559,user559@example.com,hash_password_559,2021-10-29,India,Genre_4,admin,Recomendeitor_Plus,137,559,175,2022-12-03,129,Recomendeitor,175,Content_175,2022-09-02,93,short,3.2
758,user_758,user758@example.com,hash_password_758,2020-09-11,France,Genre_7,content_creator,Recomendeitor_Plus,138,758,199,2021-08-11,56,Recomendeitor_Plus,199,Content_199,2012-08-17,63,movie,3.9
127,user_127,user127@example.com,hash_password_127,2021-09-12,Germany,Genre_8,consumer,Recomendeitor_Plus,139,127,83,2022-08-26,122,Recomendeitor,83,Content_83,2010-12-03,167,movie,1.5
147,user_147,user147@example.com,hash_password_147,2022-04-01,India,Genre_5,admin,Recomendeitor_Plus,140,147,63,2022-09-13,106,Recomendeitor_Plus,63,Content_63,2018-06-06,171,movie,2.3
118,user_118,user118@example.com,hash_password_118,2021-02-15,Italy,Genre_7,moderator,Recomendeitor_Plus,141,118,185,2021-06-28,130,Recomendeitor_Plus,185,Content_185,2012-02-24,108,live,2.0
