id,username,email,password,date_of_registration,country,preferences,user_type,recommendation_system,id,user_id,content_id,recommended_by,recommendation_date,id,title,release_date,duration,content_type,rating
16,user_16,user16@example.com,hash_password_16,2020-05-25,France,Genre_8,content_creator,Recomendeitor,27,16,153,Recomendeitor,2021-12-09,153,Content_153,2018-05-01,92,movie,2.5
993,user_993,user993@example.com,hash_password_993,2022-04-25,Spain,,consumer,Recomendeitor,28,993,133,Recomendeitor,2022-03-01,133,Content_133,2012-06-17,178,movie,4.3
45,user_45,user45@example.com,hash_password_45,2021-07-11,Japan,Genre_4,admin,Recomendeitor,29,45,83,Recomendeitor,2021-06-19,83,Content_83,2010-12-03,167,movie,1.5
321,user_321,user321@example.com,hash_password_321,2020-03-18,Spain,Genre_2,content_creator,Recomendeitor,30,321,196,Recomendeitor_Plus,2021-11-27,196,Content_196,2012-06-14,146,series,2.4
651,user_651,user651@example.com,hash_password_651,2022-04-19,USA,Genre_2,content_creator,Recomendeitor,31,651,6,Recomendeitor,2021-03-21,6,Content_6,2014-11-29,135,short,1.9
326,user_326,user326@example.com,hash_password_326,2020-09-01,Japan,Genre_10,content_creator,Recomendeitor,32,326,26,Recomendeitor_Plus,2022-07-26,26,Content_26,2014-04-05,34,live,4.8
148,user_148,user148@example.com,hash_password_148,2021-01-25,India,Genre_7,content_creator,Recomendeitor_Plus,33,148,113,Recomendeitor,2022-10-07,113,Content_113,2016-12-10,21,documentary,3.4
355,user_355,user355@example.com,hash_password_355,2021-01-05,Japan,Genre_2,content_creator,Recomendeitor_Plus,34,355,103,Recomendeitor,2022-05-23,103,Content_103,2010-06-29,165,series,2.3
236,user_236,user236@example.com,hash_password_236,2020-02-18,France,Genre_10,moderator,Recomendeitor_Plus,35,236,120,Recomendeitor,2022-08-07,120,Content_120,2012-08-14,84,movie,3.3
703,user_703,user703@example.com,hash_password_703,2021-09-04,Canada,Genre_3,moderator,Recomendeitor,36,703,183,Recomendeitor,2021-07-12,183,Content_183,2018-06-05,37,documentary,3.7
613,user_613,user613@example.com,hash_password_613,2021-12-22,Japan,,content_creator,Recomendeitor,37,613,167,Recomendeitor_Plus,2021-08-20,167,Content_167,2021-11-13,170,short,3.2
105,user_105,user105@example.com,hash_password_105,2021-09-15,Brazil,Genre_6,moderator,Recomendeitor_Plus,38,105,9,Recomendeitor,2022-11-11,9,Content_9,2017-12-22,161,short,3.9
474,user_474,user474@example.com,hash_password_474,2020-12-11,France,Genre_3,consumer,Recomendeitor_Plus,39,474,45,Recomendeitor_Plus,2021-01-26,45,Content_45,2014-09-25,167,short,4.8
762,user_762,user762@example.com,hash_password_762,2020-02-09,USA,Genre_8,consumer,Recomendeitor,40,762,14,Recomendeitor_Plus,2021-12-16,14,Content_14,2014-08-19,172,movie,3.6
396,user_396,user396@example.com,hash_password_396,2021-02-14,USA,Genre_3,moderator,Recomendeitor,41,396,112,Recomendeitor,2021-07-24,112,Content_112,2019-05-25,17,documentary,2.6
446,user_446,user446@example.com,hash_password_446,2021-07-09,Canada,Genre_1,consumer,Recomendeitor_Plus,42,446,55,Recomendeitor_Plus,2021-09-28,55,Content_55,2015-09-03,92,live,4.6
606,user_606,user606@example.com,hash_password_606,2020-01-09,India,,admin,Recomendeitor,43,606,137,Recomendeitor_Plus,2022-11-01,137,Content_137,2018-08-25,73,documentary,4.7
220,user_220,user220@example.com,hash_password_220,2021-01-20,Brazil,Genre_7,content_creator,Recomendeitor_Plus,44,220,15,Recomendeitor,2022-09-27,15,Content_15,2018-07-07,28,short,1.5
987,user_987,user987@example.com,hash_password_987,2022-08-28,Japan,Genre_4,content_creator,Recomendeitor,45,987,37,Recomendeitor_Plus,2021-03-09,37,Content_37,2010-09-07,173,movie,1.4
810,user_810,user810@example.com,hash_password_810,2022-07-09,Japan,Genre_7,admin,Recomendeitor,46,810,178,Recomendeitor,2021-12-08,178,Content_178,2016-06-26,51,live,4.5
851,user_851,user851@example.com,hash_password_851,2021-11-27,Canada,,moderator,Recomendeitor,47,851,127,Recomendeitor,2022-11-04,127,Content_127,2017-01-25,105,series,4.0
965,user_965,user965@example.com,hash_password_965,2021-01-07,USA,Genre_1,moderator,Recomendeitor,48,965,117,Recomendeitor_Plus,2021-04-02,117,Content_117,2017-11-07,91,short,3.8
442,user_442,user442@example.com,hash_password_442,2020-03-05,Canada,Genre_5,content_creator,Recomendeitor_Plus,49,442,84,Recomendeitor_Plus,2022-08-26,84,Content_84,2013-03-11,22,live,4.1
645,user_645,user645@example.com,hash_password_645,2020-04-30,USA,Genre_6,moderator,Recomendeitor,50,645,72,Recomendeitor_Plus,2022-09-23,72,Content_72,2015-05-09,48,short,4.3
873,user_873,user873@example.com,hash_password_873,2021-02-24,Germany,Genre_2,admin,Recomendeitor_Plus,51,873,96,Recomendeitor_Plus,2021-07-04,96,Content_96,2019-05-06,19,short,4.9
667,user_667,user667@example.com,hash_password_667,2020-04-06,France,,moderator,Recomendeitor,52,667,111,Recomendeitor_Plus,2021-06-13,111,Content_111,2010-03-26,68,live,4.0
28,user_28,user28@example.com,hash_password_28,2020-12-08,UK,Genre_9,content_creator,Recomendeitor,53,28,149,Recomendeitor_Plus,2022-09-22,149,Content_149,2015-01-30,91,live,3.9
794,user_794,user794@example.com,hash_password_794,2020-06-12,UK,Genre_8,content_creator,Recomendeitor,54,794,185,Recomendeitor_Plus,2022-07-27,185,Content_185,2012-02-24,108,live,2.0
475,user_475,user475@example.com,hash_password_475,2020-11-06,Canada,Genre_9,consumer,Recomendeitor,55,475,105,Recomendeitor,2022-04-02,105,Content_105,2020-05-11,62,series,4.3
628,user_628,user628@example.com,hash_password_628,2022-02-23,UK,Genre_8,admin,Recomendeitor_Plus,56,628,147,Recomendeitor,2022-06-20,147,Content_147,2014-10-24,171,live,4.4
305,user_305,user305@example.com,hash_password_305,2021-03-19,UK,Genre_1,admin,Recomendeitor_Plus,57,305,58,Recomendeitor,2021-09-30,58,Content_58,2011-10-12,25,movie,2.9
746,user_746,user746@example.com,hash_password_746,2022-11-05,Canada,Genre_3,admin,Recomendeitor_Plus,58,746,95,Recomendeitor_Plus,2022-10-31,95,Content_95,2014-07-18,83,live,3.9
405,user_405,user405@example.com,hash_password_405,2021-06-16,Spain,Genre_9,consumer,Recomendeitor,59,405,118,Recomendeitor_Plus,2022-07-07,118,Content_118,2011-12-31,107,documentary,1.7
513,user_513,user513@example.com,hash_password_513,2022-06-14,Italy,,consumer,Recomendeitor_Plus,60,513,6,Recomendeitor_Plus,2022-04-20,6,Content_6,2014-11-29,135,short,1.9
502,user_502,user502@example.com,hash_password_502,2020-02-29,USA,Genre_8,consumer,Recomendeitor_Plus,61,502,4,Recomendeitor,2022-05-07,4,Content_4,2022-09-28,51,series,1.9
348,user_348,user348@example.com,hash_password_348,2022-05-28,Italy,Genre_2,content_creator,Recomendeitor,62,348,43,Recomendeitor,2021-11-29,43,Content_43,2021-01-31,137,short,4.5
240,user_240,user240@example.com,hash_password_240,2021-01-04,UK,Genre_6,admin,Recomendeitor_Plus,63,240,93,Recomendeitor,2021-05-09,93,Content_93,2010-11-17,32,series,1.9
570,user_570,user570@example.com,hash_password_570,2022-01-05,UK,,admin,Recomendeitor_Plus,64,570,42,Recomendeitor_Plus,2022-04-24,42,Content_42,2018-10-30,43,movie,1.7
847,user_847,user847@example.com,hash_password_847,2022-12-08,France,Genre_1,content_creator,Recomendeitor_Plus,65,847,3,Recomendeitor,2021-04-19,3,Content_3,2020-02-15,147,live,4.7
695,user_695,user695@example.com,hash_password_695,2022-11-21,USA,Genre_10,consumer,Recomendeitor,66,695,129,Recomendeitor,2022-09-02,129,Content_129,2018-01-13,96,series,3.1
337,user_337,user337@example.com,hash_password_337,2020-07-05,Canada,Genre_7,content_creator,Recomendeitor,67,337,183,Recomendeitor_Plus,2021-06-10,183,Content_183,2018-06-05,37,documentary,3.7
26,user_26,user26@example.com,hash_password_26,2022-04-26,USA,Genre_6,content_creator,Recomendeitor,68,26,15,Recomendeitor,2022-09-24,15,Content_15,2018-07-07,28,short,1.5
980,user_980,user980@example.com,hash_password_980,2021-03-15,France,Genre_6,consumer,Recomendeitor,69,980,47,Recomendeitor,2021-06-10,47,Content_47,2019-12-17,84,movie,2.7
409,user_409,user409@example.com,hash_password_409,2021-02-14,UK,Genre_4,moderator,Recomendeitor_Plus,70,409,85,Recomendeitor,2022-09-18,85,Content_85,2018-10-27,30,series,1.0
77,user_77,user77@example.com,hash_password_77,2021-07-29,India,Genre_7,content_creator,Recomendeitor_Plus,71,77,174,Recomendeitor_Plus,2021-02-16,174,Content_174,2015-06-01,30,series,4.2
929,user_929,user929@example.com,hash_password_929,2022-09-04,Brazil,Genre_6,consumer,Recomendeitor,72,929,58,Recomendeitor,2022-03-19,58,Content_58,2011-10-12,25,movie,2.9
217,user_217,user217@example.com,hash_password_217,2022-03-15,Brazil,Genre_9,admin,Recomendeitor_Plus,73,217,199,Recomendeitor_Plus,2021-09-30,199,Content_199,2012-08-17,63,movie,3.9
328,user_328,user328@example.com,hash_password_328,2022-02-27,Brazil,Genre_7,content_creator,Recomendeitor,74,328,39,Recomendeitor_Plus,2022-02-18,39,Content_39,2022-11-13,113,short,1.9
837,user_837,user837@example.com,hash_password_837,2022-05-13,Spain,Genre_1,admin,Recomendeitor_Plus,75,837,131,Recomendeitor,2021-08-07,131,Content_131,2017-10-09,59,short,2.5
774,user_774,user774@example.com,hash_password_774,2020-06-07,Brazil,Genre_5,consumer,Recomendeitor_Plus,76,774,158,Recomendeitor,2022-04-09,158,Content_158,2015-11-15,166,short,1.1
23,user_23,user23@example.com,hash_password_23,2020-11-04,Japan,Genre_5,admin,Recomendeitor_Plus,77,23,35,Recomendeitor_Plus,2022-02-23,35,Content_35,2014-08-02,136,movie,1.8
756,user_756,user756@example.com,hash_password_756,2022-08-01,Spain,Genre_6,moderator,Recomendeitor,78,756,185,Recomendeitor_Plus,2021-05-11,185,Content_185,2012-02-24,108,live,2.0
670,user_670,user670@example.com,hash_password_670,2021-08-28,Japan,Genre_8,admin,Recomendeitor,79,670,157,Recomendeitor_Plus,2021-09-09,157,Content_157,2018-03-29,154,documentary,2.5
718,user_718,user718@example.com,hash_password_718,2020-11-24,USA,,moderator,Recomendeitor_Plus,80,718,178,Recomendeitor_Plus,2022-07-01,178,Content_178,2016-06-26,51,live,4.5
310,user_310,user310@example.com,hash_password_310,2022-01-26,USA,Genre_8,moderator,Recomendeitor_Plus,81,310,190,Recomendeitor_Plus,2021-08-16,190,Content_190,2017-06-28,22,short,1.0
599,user_599,user599@example.com,hash_password_599,2021-08-19,USA,,consumer,Recomendeitor_Plus,82,599,52,Recomendeitor,2021-08-13,52,Content_52,2017-12-30,43,series,2.4
267,user_267,user267@example.com,hash_password_267,2020-04-04,USA,Genre_10,content_creator,Recomendeitor,83,267,118,Recomendeitor_Plus,2022-03-21,118,Content_118,2011-12-31,107,documentary,1.7
415,user_415,user415@example.com,hash_password_415,2022-09-12,Germany,Genre_6,admin,Recomendeitor,84,415,14,Recomendeitor,2021-07-27,14,Content_14,2014-08-19,172,movie,3.6
646,user_646,user646@example.com,hash_password_646,2021-03-19,France,Genre_9,content_creator,Recomendeitor_Plus,85,646,163,Recomendeitor_Plus,2022-10-29,163,Content_163,2016-06-01,32,short,2.8
267,user_267,user267@example.com,hash_password_267,2020-04-04,USA,Genre_10,content_creator,Recomendeitor,86,267,156,Recomendeitor,2022-02-04,156,Content_156,2019-03-01,174,series,3.9
333,user_333,user333@example.com,hash_password_333,2020-04-15,Japan,Genre_6,content_creator,Recomendeitor_Plus,87,333,186,Recomendeitor_Plus,2022-12-01,186,Content_186,2018-07-19,56,series,3.5
780,user_780,user780@example.com,hash_password_780,2022-05-29,Japan,Genre_6,admin,Recomendeitor_Plus,88,780,30,Recomendeitor,2022-06-12,30,Content_30,2021-06-21,46,series,2.0
450,user_450,user450@example.com,hash_password_450,2022-11-02,UK,Genre_10,moderator,Recomendeitor_Plus,89,450,90,Recomendeitor,2022-09-26,90,Content_90,2020-08-22,34,short,1.9
565,user_565,user565@example.com,hash_password_565,2021-11-17,Italy,Genre_6,consumer,Recomendeitor,90,565,135,Recomendeitor_Plus,2021-03-15,135,Content_135,2013-03-30,78,movie,3.9
611,user_611,user611@example.com,hash_password_611,2022-12-17,France,Genre_5,consumer,Recomendeitor,91,611,167,Recomendeitor_Plus,2021-04-16,167,Content_167,2021-11-13,170,short,3.2
247,user_247,user247@example.com,hash_password_247,2022-06-06,USA,Genre_10,consumer,Recomendeitor,92,247,95,Recomendeitor,2022-08-06,95,Content_95,2014-07-18,83,live,3.9
36,user_36,user36@example.com,hash_password_36,2021-06-12,France,Genre_5,moderator,Recomendeitor,93,36,69,Recomendeitor,2022-09-03,69,Content_69,2010-08-17,120,live,3.0
401,user_401,user401@example.com,hash_password_401,2021-02-27,France,Genre_5,moderator,Recomendeitor_Plus,94,401,163,Recomendeitor,2021-11-16,163,Content_163,2016-06-01,32,short,2.8
28,user_28,user28@example.com,hash_password_28,2020-12-08,UK,Genre_9,content_creator,Recomendeitor,95,28,127,Recomendeitor_Plus,2022-12-15,127,Content_127,2017-01-25,105,series,4.0
220,user_220,user220@example.com,hash_password_220,2021-01-20,Brazil,Genre_7,content_creator,Recomendeitor_Plus,96,220,52,Recomendeitor_Plus,2021-02-16,52,Content_52,2017-12-30,43,series,2.4
406,user_406,user406@example.com,hash_password_406,2020-11-12,Italy,Genre_1,admin,Recomendeitor_Plus,97,406,142,Recomendeitor_Plus,2021-08-04,142,Content_142,2017-01-22,74,live,4.2
614,user_614,user614@example.com,hash_password_614,2020-03-19,Germany,Genre_1,moderator,Recomendeitor_Plus,98,614,63,Recomendeitor_Plus,2022-11-05,63,Content_63,2018-06-06,171,movie,2.3
775,user_775,user775@example.com,hash_password_775,2022-12-19,USA,Genre_2,content_creator,Recomendeitor_Plus,99,775,36,Recomendeitor,2022-05-25,36,Content_36,2019-10-21,10,documentary,4.7
271,user_271,user271@example.com,hash_password_271,2021-01-21,Germany,Genre_3,consumer,Recomendeitor_Plus,100,271,91,Recomendeitor_Plus,2021-04-09,91,Content_91,2017-07-09,40,series,2.2
736,user_736,user736@example.com,hash_password_736,2020-03-03,Italy,Genre_7,admin,Recomendeitor,101,736,152,Recomendeitor_Plus,2022-06-29,152,Content_152,2021-03-24,150,movie,3.0
651,user_651,user651@example.com,hash_password_651,2022-04-19,USA,Genre_2,content_creator,Recomendeitor,102,651,168,Recomendeitor_Plus,2022-11-04,168,Content_168,2014-01-23,33,documentary,4.9
792,user_792,user792@example.com,hash_password_792,2021-10-14,Spain,Genre_3,admin,Recomendeitor,103,792,157,Recomendeitor_Plus,2021-04-14,157,Content_157,2018-03-29,154,documentary,2.5
511,user_511,user511@example.com,hash_password_511,2020-06-28,UK,Genre_1,consumer,Recomendeitor_Plus,104,511,53,Recomendeitor_Plus,2021-07-13,53,Content_53,2015-12-03,54,short,4.6
963,user_963,user963@example.com,hash_password_963,2020-05-06,France,Genre_1,admin,Recomendeitor,105,963,109,Recomendeitor,2021-04-24,109,Content_109,2015-04-15,39,series,4.2
286,user_286,user286@example.com,hash_password_286,2020-03-19,Brazil,Genre_1,content_creator,Recomendeitor_Plus,106,286,150,Recomendeitor_Plus,2022-07-07,150,Content_150,2019-12-27,152,documentary,3.2
454,user_454,user454@example.com,hash_password_454,2021-09-23,USA,Genre_3,consumer,Recomendeitor,107,454,72,Recomendeitor,2021-09-08,72,Content_72,2015-05-09,48,short,4.3
762,user_762,user762@example.com,hash_password_762,2020-02-09,USA,Genre_8,consumer,Recomendeitor,108,762,15,Recomendeitor_Plus,2022-10-06,15,Content_15,2018-07-07,28,short,1.5
834,user_834,user834@example.com,hash_password_834,2022-07-15,Spain,Genre_4,moderator,Recomendeitor,109,834,113,Recomendeitor_Plus,2021-07-12,113,Content_113,2016-12-10,21,documentary,3.4
317,user_317,user317@example.com,hash_password_317,2022-04-22,UK,Genre_6,consumer,Recomendeitor,110,317,69,Recomendeitor_Plus,2022-08-15,69,Content_69,2010-08-17,120,live,3.0
590,user_590,user590@example.com,hash_password_590,2022-01-08,France,Genre_3,moderator,Recomendeitor_Plus,111,590,116,Recomendeitor_Plus,2022-10-18,116,Content_116,2011-12-07,43,short,3.2
297,user_297,user297@example.com,hash_password_297,2021-09-14,France,Genre_3,moderator,Recomendeitor_Plus,112,297,192,Recomendeitor,2022-06-10,192,Content_192,2018-12-13,109,documentary,1.2
338,user_338,user338@example.com,hash_password_338,2022-06-03,India,Genre_9,consumer,Recomendeitor,113,338,4,Recomendeitor,2021-11-02,4,Content_4,2022-09-28,51,series,1.9
307,user_307,user307@example.com,hash_password_307,2022-12-18,Germany,Genre_9,content_creator,Recomendeitor,114,307,75,Recomendeitor_Plus,2022-01-16,75,Content_75,2011-12-22,135,documentary,4.1
428,user_428,user428@example.com,hash_password_428,2022-05-21,France,Genre_6,content_creator,Recomendeitor_Plus,115,428,146,Recomendeitor,2021-04-21,146,Content_146,2010-01-16,164,documentary,4.9
351,user_351,user351@example.com,hash_password_351,2021-02-09,Italy,Genre_7,consumer,Recomendeitor,116,351,42,Recomendeitor,2022-03-25,42,Content_42,2018-10-30,43,movie,1.7
511,user_511,user511@example.com,hash_password_511,2020-06-28,UK,Genre_1,consumer,Recomendeitor_Plus,117,511,30,Recomendeitor_Plus,2022-05-07,30,Content_30,2021-06-21,46,series,2.0
525,user_525,user525@example.com,hash_password_525,2021-10-31,Italy,Genre_10,admin,Recomendeitor,118,525,143,Recomendeitor,2021-07-28,143,Content_143,2015-10-13,116,series,1.8
858,user_858,user858@example.com,hash_password_858,2021-01-12,Spain,Genre_10,content_creator,Recomendeitor_Plus,119,858,70,Recomendeitor,2022-05-03,70,Content_70,2017-09-27,168,short,2.6
492,user_492,user492@example.com,hash_password_492,2021-09-12,Italy,Genre_6,content_creator,Recomendeitor,120,492,183,Recomendeitor_Plus,2021-11-18,183,Content_183,2018-06-05,37,documentary,3.7
908,user_908,user908@example.com,hash_password_908,2020-07-15,Canada,Genre_10,content_creator,Recomendeitor_Plus,121,908,181,Recomendeitor_Plus,2021-10-19,181,Content_181,2021-02-03,57,series,2.2
594,user_594,user594@example.com,hash_password_594,2021-10-05,UK,,consumer,Recomendeitor,122,594,16,Recomendeitor,2021-12-18,16,Content_16,2019-03-10,123,live,2.2
9,user_9,user9@example.com,hash_password_9,2022-11-17,Brazil,Genre_8,content_creator,Recomendeitor_Plus,123,9,111,Recomendeitor_Plus,2021-02-28,111,Content_111,2010-03-26,68,live,4.0
497,user_497,user497@example.com,hash_password_497,2020-06-28,Italy,Genre_8,admin,Recomendeitor,124,497,104,Recomendeitor_Plus,2022-05-08,104,Content_104,2020-09-19,119,short,3.9
725,user_725,user725@example.com,hash_password_725,2021-01-26,USA,Genre_3,moderator,Recomendeitor_Plus,125,725,107,Recomendeitor_Plus,2022-09-10,107,Content_107,2022-01-28,88,series,2.5
560,user_560,user560@example.com,hash_password_560,2022-06-19,Germany,,moderator,Recomendeitor,126,560,123,Recomendeitor,2022-11-15,123,Content_123,2014-12-19,88,short,2.1
561,user_561,user561@example.com,hash_password_561,2022-07-31,Germany,Genre_1,admin,Recomendeitor_Plus,127,561,162,Recomendeitor_Plus,2022-08-21,162,Content_162,2019-03-31,147,documentary,4.9
821,user_821,user821@example.com,hash_password_821,2022-11-03,Japan,Genre_8,admin,Recomendeitor,128,821,27,Recomendeitor_Plus,2021-03-14,27,Content_27,2010-06-10,46,series,3.3
440,user_440,user440@example.com,hash_password_440,2021-10-29,Brazil,Genre_8,moderator,Recomendeitor_Plus,129,440,13,Recomendeitor,2021-11-09,13,Content_13,2016-11-06,56,short,2.9
552,user_552,user552@example.com,hash_password_552,2021-04-12,UK,Genre_2,admin,Recomendeitor,130,552,155,Recomendeitor,2022-02-05,155,Content_155,2017-08-06,65,live,4.1
875,user_875,user875@example.com,hash_password_875,2021-01-25,USA,,consumer,Recomendeitor,131,875,73,Recomendeitor,2022-08-06,73,Content_73,2014-04-18,145,documentary,2.3
792,user_792,user792@example.com,hash_password_792,2021-10-14,Spain,Genre_3,admin,Recomendeitor,132,792,197,Recomendeitor,2021-08-05,197,Content_197,2016-12-22,82,live,3.5
738,user_738,user738@example.com,hash_password_738,2021-01-19,Brazil,Genre_8,admin,Recomendeitor_Plus,133,738,86,Recomendeitor,2022-06-24,86,Content_86,2016-02-27,156,series,2.7
968,user_968,user968@example.com,hash_password_968,2020-04-26,Canada,Genre_10,content_creator,Recomendeitor,134,968,31,Recomendeitor_Plus,2022-12-29,31,Content_31,2019-10-15,150,movie,3.3
108,user_108,user108@example.com,hash_password_108,2020-11-23,Brazil,Genre_1,admin,Recomendeitor_Plus,135,108,3,Recomendeitor,2022-11-13,3,Content_3,2020-02-15,147,live,4.7
245,user_245,user245@example.com,hash_password_245,2022-04-17,Spain,Genre_4,consumer,Recomendeitor_Plus,136,245,30,Recomendeitor_Plus,2021-10-14,30,Content_30,2021-06-21,46,series,2.0
255,user_255,user255@example.com,hash_password_255,2020-05-30,Germany,Genre_7,consumer,Recomendeitor_Plus,137,255,149,Recomendeitor,2021-12-20,149,Content_149,2015-01-30,91,live,3.9
33,user_33,user33@example.com,hash_password_33,2020-09-05,France,Genre_8,consumer,Recomendeitor,138,33,99,Recomendeitor_Plus,2022-01-15,99,Content_99,2017-06-15,157,short,4.0
23,user_23,user23@example.com,hash_password_23,2020-11-04,Japan,Genre_5,admin,Recomendeitor_Plus,139,23,134,Recomendeitor_Plus,2021-09-12,134,Content_134,2016-07-11,143,documentary,3.8
845,user_845,user845@example.com,hash_password_845,2022-05-12,UK,Genre_5,consumer,Recomendeitor_Plus,140,845,160,Recomendeitor,2022-03-29,160,Content_160,2019-05-23,69,movie,1.0
566,user_566,user566@example.com,hash_password_566,2021-11-17,Japan,Genre_1,admin,Recomendeitor_Plus,141,566,170,Recomendeitor,2021-01-02,170,Content_170,2016-07-07,20,movie,3.0
821,user_821,user821@example.com,hash_password_821,2022-11-03,Japan,Genre_8,admin,Recomendeitor,142,821,190,Recomendeitor,2022-11-06,190,Content_190,2017-06-28,22,short,1.0
49,user_49,user49@example.com,hash_password_49,2020-03-08,Italy,Genre_6,content_creator,Recomendeitor,143,49,160,Recomendeitor,2022-08-25,160,Content_160,2019-05-23,69,movie,1.0
462,user_462,user462@example.com,hash_password_462,2020-10-05,USA,Genre_8,admin,Recomendeitor,144,462,99,Recomendeitor,2022-10-21,99,Content_99,2017-06-15,157,short,4.0
590,user_590,user590@example.com,hash_password_590,2022-01-08,France,Genre_3,moderator,Recomendeitor_Plus,145,590,86,Recomendeitor,2022-07-24,86,Content_86,2016-02-27,156,series,2.7
